,count,Last Update Posted
219,2,"January 9, 2019"
220,2,"April 29, 2021"
221,2,"April 16, 2008"
222,2,"January 18, 2019"
223,2,"October 13, 2021"
224,2,"September 2, 2020"
225,2,"August 20, 2009"
226,2,"February 25, 2021"
227,2,"April 6, 2021"
228,2,"August 29, 2017"
229,2,"July 18, 2018"
230,2,"June 24, 2019"
231,2,"September 16, 2014"
232,2,"February 13, 2015"
233,2,"November 23, 2016"
234,2,"January 5, 2016"
235,2,"October 23, 2019"
236,2,"November 1, 2017"
237,2,"August 6, 2014"
238,2,"October 16, 2015"
239,2,"November 7, 2014"
240,2,"January 14, 2016"
241,2,"December 2, 2014"
242,2,"December 30, 2014"
243,2,"March 11, 2020"
244,2,"January 14, 2015"
245,2,"February 22, 2016"
246,2,"April 3, 2015"
247,2,"November 8, 2016"
248,2,"November 6, 2014"
249,2,"April 9, 2014"
250,2,"December 2, 2017"
251,2,"January 10, 2019"
252,2,"January 10, 2013"
253,2,"January 16, 2013"
254,2,"November 5, 2013"
255,2,"January 15, 2015"
256,2,"June 26, 2020"
257,2,"November 20, 2012"
258,2,"March 25, 2015"
259,2,"December 13, 2017"
260,2,"March 11, 2014"
261,2,"September 12, 2014"
262,2,"October 8, 2013"
263,2,"July 20, 2012"
264,2,"November 18, 2016"
265,2,"October 9, 2013"
266,2,"April 20, 2017"
267,2,"September 17, 2020"
268,2,"March 6, 2012"
269,2,"April 10, 2015"
270,2,"August 14, 2017"
271,2,"January 25, 2018"
272,2,"August 29, 2016"
273,2,"April 11, 2019"
274,2,"September 6, 2017"
275,2,"March 29, 2018"
276,2,"October 5, 2011"
277,2,"August 7, 2017"
278,2,"May 3, 2018"
279,2,"October 14, 2011"
280,2,"April 6, 2017"
281,2,"November 1, 2018"
282,2,"April 23, 2012"
283,2,"October 19, 2010"
284,2,"November 25, 2020"
285,2,"November 6, 2020"
286,2,"July 21, 2017"
287,2,"October 13, 2010"
288,2,"August 3, 2016"
289,2,"March 7, 2018"
290,2,"May 15, 2015"
291,2,"April 8, 2016"
292,2,"June 8, 2015"
293,2,"June 29, 2016"
294,2,"May 10, 2017"
295,2,"August 3, 2012"
296,2,"June 7, 2012"
297,2,"June 20, 2012"
298,2,"April 6, 2018"
299,2,"December 2, 2015"
300,2,"June 28, 2016"
301,2,"May 24, 2016"
302,2,"January 1, 2016"
303,2,"January 28, 2016"
304,2,"February 19, 2016"
305,2,"October 25, 2011"
306,2,"June 6, 2016"
307,2,"June 24, 2016"
308,2,"December 3, 2018"
309,2,"September 24, 2019"
310,2,"April 13, 2021"
311,2,"March 1, 2021"
312,2,"May 26, 2021"
313,2,"July 10, 2020"
314,2,"May 14, 2021"
315,2,"August 19, 2020"
316,2,"August 26, 2021"
317,2,"October 27, 2021"
318,2,"November 23, 2021"
319,2,"February 25, 2020"
320,2,"November 11, 2021"
321,2,"September 7, 2020"
322,2,"August 5, 2020"
323,2,"February 18, 2020"
324,2,"November 15, 2021"
325,2,"January 27, 2020"
326,2,"August 6, 2020"
327,2,"January 9, 2020"
328,2,"August 20, 2020"
329,2,"April 23, 2021"
330,2,"January 20, 2022"
331,2,"September 4, 2020"
332,2,"February 8, 2021"
333,2,"December 3, 2019"
334,2,"December 3, 2021"
335,2,"August 4, 2020"
336,2,"March 27, 2020"
337,2,"October 24, 2019"
338,2,"April 20, 2021"
339,2,"July 20, 2021"
340,2,"October 29, 2021"
341,2,"June 15, 2021"
342,2,"November 18, 2021"
343,2,"July 19, 2021"
344,2,"August 9, 2021"
345,2,"May 21, 2020"
346,2,"April 30, 2020"
347,2,"May 6, 2020"
348,2,"November 30, 2021"
349,2,"September 17, 2021"
350,2,"September 29, 2021"
351,2,"May 13, 2021"
352,2,"May 18, 2021"
353,2,"June 11, 2020"
354,2,"May 17, 2021"
355,2,"November 12, 2021"
356,2,"April 9, 2020"
357,2,"May 10, 2021"
358,2,"September 22, 2021"
359,2,"November 8, 2021"
360,2,"December 1, 2020"
361,2,"July 23, 2021"
362,2,"April 2, 2021"
363,2,"July 16, 2021"
364,2,"June 3, 2021"
365,2,"December 29, 2021"
366,2,"January 19, 2021"
367,2,"May 23, 2019"
368,2,"January 6, 2021"
369,2,"January 4, 2022"
370,2,"June 7, 2019"
371,2,"May 10, 2019"
372,2,"July 14, 2020"
373,2,"December 24, 2020"
374,2,"October 15, 2019"
375,2,"January 22, 2020"
376,2,"October 17, 2019"
377,2,"February 1, 2021"
378,2,"October 26, 2020"
379,2,"December 7, 2020"
380,2,"November 16, 2020"
381,2,"December 9, 2021"
382,2,"July 12, 2021"
383,2,"August 2, 2021"
384,1,"June 1, 2018"
385,1,"June 11, 2014"
386,1,"December 10, 2012"
387,1,"October 23, 2020"
388,1,"October 13, 2017"
389,1,"August 24, 2015"
390,1,"June 26, 2018"
391,1,"December 5, 2012"
392,1,"July 9, 2018"
393,1,"November 17, 2017"
394,1,"March 26, 2019"
395,1,"July 19, 2019"
396,1,"October 4, 2016"
397,1,"November 2, 2020"
398,1,"December 31, 2012"
399,1,"January 12, 2021"
400,1,"July 6, 2016"
401,1,"October 27, 2015"
402,1,"August 1, 2019"
403,1,"April 22, 2021"
404,1,"May 11, 2021"
405,1,"January 9, 2013"
406,1,"August 2, 2016"
407,1,"February 4, 2015"
408,1,"September 29, 2015"
409,1,"June 4, 2015"
410,1,"November 24, 2017"
411,1,"June 25, 2012"
412,1,"July 2, 2021"
413,1,"September 23, 2013"
414,1,"August 31, 2017"
415,1,"September 16, 2019"
416,1,"June 21, 2021"
417,1,"October 22, 2021"
418,1,"April 12, 2019"
419,1,"July 15, 2021"
420,1,"February 28, 2018"
421,1,"January 27, 2016"
422,1,"September 19, 2012"
423,1,"November 23, 2020"
424,1,"July 3, 2013"
425,1,"August 22, 2014"
426,1,"October 1, 2012"
427,1,"February 9, 2016"
428,1,"August 18, 2014"
429,1,"February 11, 2015"
430,1,"April 25, 2018"
431,1,"August 13, 2014"
432,1,"April 16, 2015"
433,1,"February 28, 2013"
434,1,"November 14, 2012"
435,1,"May 21, 2021"
436,1,"May 28, 2021"
437,1,"July 30, 2021"
438,1,"September 15, 2015"
439,1,"November 30, 2016"
440,1,"March 8, 2018"
441,1,"June 10, 2015"
442,1,"December 30, 2013"
443,1,"February 20, 2014"
444,1,"August 1, 2017"
445,1,"February 11, 2021"
446,1,"April 30, 2015"
447,1,"August 2, 2013"
448,1,"January 20, 2021"
449,1,"April 18, 2018"
450,1,"September 16, 2013"
451,1,"December 27, 2017"
452,1,"November 5, 2018"
453,1,"May 28, 2020"
454,1,"March 19, 2018"
455,1,"September 13, 2013"
456,1,"August 14, 2019"
457,1,"January 2, 2019"
458,1,"October 11, 2021"
459,1,"February 17, 2016"
460,1,"February 4, 2021"
461,1,"October 14, 2013"
462,1,"October 6, 2015"
463,1,"July 16, 2018"
464,1,"November 14, 2013"
465,1,"December 15, 2016"
466,1,"June 20, 2019"
467,1,"November 18, 2013"
468,1,"February 7, 2018"
469,1,"February 11, 2020"
470,1,"March 30, 2020"
471,1,"December 24, 2013"
472,1,"July 30, 2015"
473,1,"September 4, 2018"
474,1,"March 29, 2019"
475,1,"July 18, 2013"
476,1,"May 2, 2017"
477,1,"October 30, 2017"
478,1,"April 19, 2018"
479,1,"March 30, 2021"
480,1,"December 20, 2018"
481,1,"April 4, 2016"
482,1,"June 15, 2016"
483,1,"April 4, 2013"
484,1,"October 14, 2016"
485,1,"July 8, 2013"
486,1,"May 10, 2013"
487,1,"January 22, 2016"
488,1,"May 15, 2013"
489,1,"May 16, 2013"
490,1,"November 26, 2013"
491,1,"May 23, 2014"
492,1,"May 11, 2018"
493,1,"May 22, 2013"
494,1,"May 14, 2014"
495,1,"January 8, 2021"
496,1,"February 24, 2016"
497,1,"May 25, 2018"
498,1,"June 10, 2013"
499,1,"February 5, 2020"
500,1,"December 31, 2020"
501,1,"January 11, 2016"
502,1,"March 17, 2016"
503,1,"September 21, 2021"
504,1,"May 25, 2015"
505,1,"January 7, 2015"
506,1,"February 15, 2021"
507,1,"February 17, 2017"
508,1,"January 28, 2020"
509,1,"November 30, 2015"
510,1,"September 30, 2013"
511,1,"March 5, 2019"
512,1,"June 19, 2012"
513,1,"August 4, 2011"
514,1,"February 4, 2016"
515,1,"May 1, 2009"
516,1,"October 15, 2015"
517,1,"October 31, 2014"
518,1,"February 14, 2017"
519,1,"November 30, 2012"
520,1,"December 29, 2008"
521,1,"March 30, 2016"
522,1,"October 10, 2012"
523,1,"September 5, 2012"
524,1,"April 9, 2015"
525,1,"August 11, 2009"
526,1,"January 7, 2013"
527,1,"October 14, 2009"
528,1,"December 27, 2012"
529,1,"December 1, 2010"
530,1,"December 7, 2010"
531,1,"May 3, 2012"
532,1,"June 11, 2010"
533,1,"May 25, 2010"
534,1,"April 27, 2010"
535,1,"March 18, 2014"
536,1,"September 19, 2014"
537,1,"February 5, 2014"
538,1,"May 25, 2012"
539,1,"April 24, 2015"
540,1,"August 7, 2015"
541,1,"April 14, 2017"
542,1,"December 6, 2010"
543,1,"September 15, 2009"
544,1,"August 26, 2014"
545,1,"August 6, 2018"
546,1,"December 17, 2015"
547,1,"June 25, 2008"
548,1,"June 17, 2008"
549,1,"August 19, 2008"
550,1,"April 6, 2020"
551,1,"November 5, 2010"
552,1,"July 6, 2007"
553,1,"March 23, 2015"
554,1,"April 2, 2020"
555,1,"April 28, 2011"
556,1,"December 27, 2021"
557,1,"February 9, 2009"
558,1,"December 16, 2008"
559,1,"May 23, 2011"
560,1,"February 14, 2018"
561,1,"July 2, 2017"
562,1,"February 5, 2018"
563,1,"June 24, 2005"
564,1,"December 4, 2013"
565,1,"March 1, 2019"
566,1,"September 17, 2009"
567,1,"December 22, 2021"
568,1,"March 22, 2007"
569,1,"March 8, 2011"
570,1,"June 16, 2011"
571,1,"March 17, 2015"
572,1,"December 5, 2014"
573,1,"November 25, 2014"
574,1,"October 8, 2012"
575,1,"September 10, 2019"
576,1,"September 23, 2009"
577,1,"February 17, 2010"
578,1,"March 5, 2014"
579,1,"August 29, 2008"
580,1,"October 22, 2018"
581,1,"September 2, 2011"
582,1,"January 11, 2011"
583,1,"February 3, 2009"
584,1,"June 14, 2010"
585,1,"June 18, 2013"
586,1,"January 8, 2013"
587,1,"May 17, 2016"
588,1,"December 26, 2011"
589,1,"August 13, 2021"
590,1,"August 17, 2021"
591,1,"September 13, 2016"
592,1,"April 19, 2013"
593,1,"April 1, 2015"
594,1,"June 10, 2014"
595,1,"March 10, 2015"
596,1,"May 1, 2015"
597,1,"May 19, 2015"
598,1,"September 19, 2011"
599,1,"March 4, 2014"
600,1,"August 19, 2011"
601,1,"April 13, 2018"
602,1,"August 9, 2011"
603,1,"March 22, 2012"
604,1,"November 19, 2020"
605,1,"September 23, 2015"
606,1,"March 23, 2018"
607,1,"September 3, 2019"
608,1,"August 9, 2019"
609,1,"May 23, 2012"
610,1,"September 15, 2016"
611,1,"August 25, 2015"
612,1,"June 2, 2020"
613,1,"April 14, 2015"
614,1,"January 8, 2015"
615,1,"March 20, 2012"
616,1,"March 16, 2012"
617,1,"March 8, 2012"
618,1,"July 29, 2021"
619,1,"June 27, 2013"
620,1,"November 29, 2019"
621,1,"September 17, 2014"
622,1,"July 22, 2011"
623,1,"October 10, 2011"
624,1,"August 31, 2010"
625,1,"March 21, 2018"
626,1,"August 5, 2015"
627,1,"November 26, 2015"
628,1,"December 8, 2021"
629,1,"February 13, 2014"
630,1,"December 11, 2015"
631,1,"October 20, 2010"
632,1,"October 18, 2021"
633,1,"October 18, 2010"
634,1,"October 15, 2010"
635,1,"August 8, 2018"
636,1,"October 26, 2021"
637,1,"October 28, 2010"
638,1,"May 29, 2013"
639,1,"April 28, 2014"
640,1,"September 23, 2010"
641,1,"March 26, 2014"
642,1,"April 7, 2014"
643,1,"February 15, 2018"
644,1,"October 4, 2021"
645,1,"July 12, 2011"
646,1,"December 29, 2015"
647,1,"December 31, 2014"
648,1,"September 14, 2017"
649,1,"December 15, 2015"
650,1,"February 9, 2012"
651,1,"June 17, 2016"
652,1,"April 11, 2011"
653,1,"March 25, 2011"
654,1,"July 19, 2012"
655,1,"November 19, 2012"
656,1,"March 1, 2011"
657,1,"March 7, 2013"
658,1,"March 26, 2013"
659,1,"February 4, 2014"
660,1,"June 2, 2017"
661,1,"September 11, 2017"
662,1,"March 19, 2019"
663,1,"December 24, 2018"
664,1,"June 14, 2021"
665,1,"August 4, 2021"
666,1,"March 20, 2020"
667,1,"December 23, 2019"
668,1,"August 23, 2017"
669,1,"February 20, 2020"
670,1,"August 10, 2020"
671,1,"August 4, 2017"
672,1,"March 12, 2018"
673,1,"August 2, 2017"
674,1,"May 18, 2020"
675,1,"July 19, 2017"
676,1,"July 18, 2017"
677,1,"June 7, 2018"
678,1,"September 11, 2018"
679,1,"June 21, 2017"
680,1,"June 8, 2018"
681,1,"March 12, 2020"
682,1,"March 19, 2021"
683,1,"September 25, 2017"
684,1,"April 20, 2018"
685,1,"March 16, 2020"
686,1,"June 5, 2020"
687,1,"February 24, 2020"
688,1,"January 7, 2021"
689,1,"January 4, 2018"
690,1,"April 23, 2018"
691,1,"February 16, 2021"
692,1,"December 21, 2020"
693,1,"December 11, 2017"
694,1,"December 5, 2017"
695,1,"November 26, 2018"
696,1,"June 29, 2020"
697,1,"November 8, 2017"
698,1,"October 26, 2017"
699,1,"June 15, 2017"
700,1,"April 17, 2019"
701,1,"April 24, 2020"
702,1,"January 16, 2019"
703,1,"December 20, 2017"
704,1,"January 26, 2017"
705,1,"April 10, 2018"
706,1,"July 6, 2017"
707,1,"November 13, 2019"
708,1,"February 8, 2019"
709,1,"December 19, 2020"
710,1,"December 7, 2016"
711,1,"November 30, 2020"
712,1,"October 12, 2018"
713,1,"November 22, 2016"
714,1,"November 11, 2016"
715,1,"November 6, 2016"
716,1,"November 2, 2016"
717,1,"November 16, 2016"
718,1,"April 21, 2020"
719,1,"April 17, 2020"
720,1,"November 20, 2019"
721,1,"October 2, 2017"
722,1,"May 2, 2019"
723,1,"June 4, 2018"
724,1,"January 2, 2020"
725,1,"December 28, 2020"
726,1,"August 11, 2021"
727,1,"May 3, 2017"
728,1,"February 26, 2018"
729,1,"May 27, 2020"
730,1,"August 9, 2018"
731,1,"April 5, 2019"
732,1,"April 10, 2017"
733,1,"May 11, 2017"
734,1,"April 5, 2017"
735,1,"March 20, 2017"
736,1,"May 17, 2018"
737,1,"July 1, 2020"
738,1,"February 6, 2020"
739,1,"September 25, 2014"
740,1,"June 22, 2021"
741,1,"December 7, 2018"
742,1,"September 23, 2020"
743,1,"June 17, 2019"
744,1,"July 1, 2021"
745,1,"August 12, 2020"
746,1,"February 24, 2021"
747,1,"November 16, 2018"
748,1,"August 13, 2019"
749,1,"March 9, 2018"
750,1,"August 20, 2019"
751,1,"December 12, 2019"
752,1,"September 25, 2019"
753,1,"October 29, 2019"
754,1,"August 26, 2019"
755,1,"April 4, 2019"
756,1,"September 25, 2018"
757,1,"July 9, 2019"
758,1,"March 6, 2019"
759,1,"June 21, 2019"
760,1,"December 31, 2018"
761,1,"April 22, 2019"
762,1,"March 8, 2019"
763,1,"March 20, 2019"
764,1,"May 22, 2020"
765,1,"May 14, 2019"
766,1,"April 1, 2020"
767,1,"November 29, 2021"
768,1,"November 22, 2021"
769,1,"February 12, 2019"
770,1,"January 14, 2021"
771,1,"January 31, 2019"
772,1,"June 13, 2019"
773,1,"January 23, 2019"
774,1,"January 8, 2019"
775,1,"December 13, 2021"
776,1,"May 26, 2020"
777,1,"September 17, 2019"
778,1,"August 12, 2019"
779,1,"June 19, 2018"
780,1,"June 14, 2018"
781,1,"June 13, 2018"
782,1,"June 18, 2019"
783,1,"June 6, 2018"
784,1,"October 14, 2020"
785,1,"December 24, 2019"
786,1,"December 27, 2019"
787,1,"February 21, 2020"
788,1,"June 10, 2021"
789,1,"January 14, 2020"
790,1,"October 20, 2020"
791,1,"December 14, 2020"
792,1,"March 11, 2021"
793,1,"March 13, 2018"
794,1,"January 30, 2020"
795,1,"May 21, 2019"
796,1,"June 20, 2018"
797,1,"August 29, 2018"
798,1,"July 6, 2018"
799,1,"March 28, 2019"
800,1,"August 21, 2018"
801,1,"August 20, 2018"
802,1,"October 18, 2019"
803,1,"March 3, 2021"
804,1,"November 8, 2019"
805,1,"July 13, 2020"
806,1,"August 2, 2018"
807,1,"June 24, 2021"
808,1,"November 22, 2019"
809,1,"September 4, 2019"
810,1,"July 31, 2018"
811,1,"January 15, 2019"
812,1,"December 2, 2019"
813,1,"July 25, 2019"
814,1,"November 15, 2018"
815,1,"October 25, 2016"
816,1,"October 24, 2016"
817,1,"November 20, 2017"
818,1,"February 23, 2017"
819,1,"July 14, 2016"
820,1,"August 16, 2017"
821,1,"January 7, 2020"
822,1,"August 25, 2020"
823,1,"January 5, 2018"
824,1,"October 30, 2015"
825,1,"January 18, 2017"
826,1,"October 13, 2016"
827,1,"September 1, 2020"
828,1,"May 14, 2015"
829,1,"November 9, 2020"
830,1,"May 12, 2015"
831,1,"March 16, 2016"
832,1,"October 31, 2018"
833,1,"November 4, 2015"
834,1,"March 7, 2017"
835,1,"March 22, 2019"
836,1,"July 1, 2015"
837,1,"May 19, 2021"
838,1,"April 5, 2018"
839,1,"July 8, 2020"
840,1,"September 28, 2015"
841,1,"October 16, 2018"
842,1,"June 22, 2016"
843,1,"April 20, 2016"
844,1,"August 3, 2020"
845,1,"July 18, 2019"
846,1,"February 15, 2017"
847,1,"August 21, 2017"
848,1,"November 5, 2020"
849,1,"July 22, 2015"
850,1,"July 10, 2015"
851,1,"April 28, 2017"
852,1,"July 3, 2015"
853,1,"April 29, 2019"
854,1,"August 21, 2020"
855,1,"June 28, 2017"
856,1,"October 9, 2020"
857,1,"July 8, 2019"
858,1,"November 2, 2021"
859,1,"May 22, 2018"
860,1,"March 3, 2017"
861,1,"July 11, 2016"
862,1,"March 22, 2016"
863,1,"November 12, 2020"
864,1,"April 17, 2018"
865,1,"November 14, 2014"
866,1,"February 25, 2016"
867,1,"July 12, 2018"
868,1,"November 10, 2020"
869,1,"April 19, 2017"
870,1,"October 21, 2014"
871,1,"February 24, 2015"
872,1,"January 6, 2015"
873,1,"October 5, 2020"
874,1,"August 26, 2020"
875,1,"September 27, 2019"
876,1,"May 20, 2021"
877,1,"September 21, 2020"
878,1,"November 3, 2020"
879,1,"April 27, 2015"
880,1,"March 20, 2015"
881,1,"July 3, 2018"
882,1,"July 2, 2019"
883,1,"August 13, 2018"
884,1,"December 16, 2020"
885,1,"December 4, 2015"
886,1,"November 15, 2019"
887,1,"March 2, 2015"
888,1,"December 5, 2019"
889,1,"September 24, 2020"
890,1,"November 26, 2019"
891,1,"June 25, 2020"
892,1,"January 4, 2017"
893,1,"December 26, 2018"
894,1,"December 17, 2018"
895,1,"August 9, 2016"
896,1,"July 18, 2016"
897,1,"February 23, 2021"
898,1,"October 29, 2020"
899,1,"July 12, 2016"
900,1,"January 25, 2017"
901,1,"May 15, 2020"
902,1,"April 7, 2020"
903,1,"January 15, 2021"
904,1,"June 28, 2021"
905,1,"July 26, 2021"
906,1,"April 23, 2019"
907,1,"April 10, 2020"
908,1,"June 21, 2016"
909,1,"May 27, 2021"
910,1,"July 28, 2020"
911,1,"August 4, 2016"
912,1,"May 18, 2016"
913,1,"August 5, 2016"
914,1,"September 29, 2017"
915,1,"May 1, 2020"
916,1,"August 11, 2020"
917,1,"March 14, 2018"
918,1,"September 28, 2016"
919,1,"September 14, 2016"
920,1,"September 8, 2016"
921,1,"May 5, 2020"
922,1,"September 7, 2016"
923,1,"December 22, 2017"
924,1,"October 25, 2019"
925,1,"June 7, 2021"
926,1,"September 1, 2016"
927,1,"December 22, 2020"
928,1,"August 8, 2016"
929,1,"November 1, 2019"
930,1,"June 2, 2021"
931,1,"October 20, 2015"
932,1,"February 3, 2016"
933,1,"February 1, 2016"
934,1,"June 12, 2020"
935,1,"May 23, 2016"
936,1,"January 8, 2016"
937,1,"July 20, 2016"
938,1,"December 10, 2021"
939,1,"June 16, 2020"
940,1,"September 13, 2018"
941,1,"March 17, 2017"
942,1,"September 1, 2017"
943,1,"June 17, 2020"
944,1,"June 22, 2020"
945,1,"February 23, 2016"
946,1,"December 6, 2019"
947,1,"October 28, 2015"
948,1,"October 6, 2016"
949,1,"April 1, 2019"
950,1,"August 31, 2021"
951,1,"October 14, 2019"
952,1,"May 5, 2016"
953,1,"April 29, 2016"
954,1,"March 3, 2020"
955,1,"July 25, 2016"
956,1,"October 1, 2020"
957,1,"October 6, 2017"
958,1,"March 11, 2016"
959,1,"May 24, 2018"
960,1,"June 7, 2016"
961,1,"March 9, 2016"
962,1,"March 4, 2016"
963,1,"July 19, 2018"
964,1,"December 2, 2020"
965,1,"September 25, 2020"
966,1,"February 12, 2020"
967,1,"June 26, 2013"
