,count,Name
222,1,"Mahmoud Edessy, MD"
223,1,"James M. Markert, MD"
224,1,Dusica Babovic-Vuksanovic
225,1,"Himanshu Bansal, MD"
226,1,"Katarina Le Blanc, Professor"
227,1,"Wonil Oh, MD, PhD"
228,1,"Shen Huiyong, Doctor"
229,1,Bernat Soria
230,1,"Pingping Huang, M.D."
231,1,"Marjorie Zauderer, MD"
232,1,"Brian Kirkpatrick, MD"
233,1,"Bing Liu, M.D"
234,1,"Angel Chan, MD, PhD"
235,1,"Daniel Morgensztern, MD"
236,1,"Luis F Linares Ferrando, MD"
237,1,"Dr. Bill Brashier, M.D"
238,1,Fabrice Chrétien
239,1,"Thomas Eschenhagen, Prof.Dr.med."
240,1,"Khaled A Gadalla, MD"
241,1,"Victor Villanueva San Vicente, MD"
242,1,"Guo Q Li, Professor"
243,1,"Jesús JV Vaquero Crespo, MD."
244,1,"Michael D Hill, MD"
245,1,"Felipe Vilella, BSc PhD"
246,1,"Andreas Barth, MD"
247,1,"Nicholas J Maragakis, MD"
248,1,"Paul Orchard, MD"
249,1,"Aruna Rakha, PhD."
250,1,"james Q Yin, M.D.,Ph.D."
251,1,Jianwu Dai
252,1,"Su Chan Kim, PhD."
253,1,"Stuart J Spechler, MD"
254,1,"Clanet Michel, MD,PhD"
255,1,"Kaija Salmela, MD PhD"
256,1,"Maria Jesus del Cerro, PhD"
257,1,Lucia S Silla
258,1,"GIldasio Daltro, MD"
259,1,"Martin P Paulus, M.D."
260,1,"Yuriy Gubenko, MD"
261,1,"Tatiana V Dakukina, MD,PhD"
262,1,"Xavier Montalban, MD, PhD"
263,1,"Tan Jianming, MD, PhD"
264,1,"Tan Jianming, MD PhD"
265,1,"Chen Hu, Ph.D"
266,1,"Alejandro Gonzalez Ojeda, M.D., Ph.D."
267,1,"Xiaodan Jiang, MD,PhD"
268,1,"Qiquan Sun, MD,PhD"
269,1,"Nikhil N Verma, MD"
270,1,"Enrique Jimenez, MD"
271,1,Parvez Ahmed
272,1,"Min Li Rong, M.D."
273,1,"WoongChol Kang, MD, Ph.D"
274,1,"William E. Evans, PharmD"
275,1,"Chris H. Jo, M.D., Ph.D"
276,1,"Jinnin Masatoshi, MD, PhD"
277,1,"Richard Isnard, MD, PhD"
278,1,"Kourosh Saeb-Parsy, PhD, FRCS"
279,1,"Lance L Goetz, MD"
280,1,"Kristrun Stardal, RN, BSN"
281,1,"Jerôme Roncalli, MD, PhD"
282,1,"Roncalli Jérome, MD, PhD"
283,1,"Duan Lian, P.H.D"
284,1,"Jose Matas, MD"
285,1,"Sanjay Misra, M.D."
286,1,"Yali HU, MD,PhD"
287,1,"Jayter S Paula, MD"
288,1,"Glassberg K Marilyn, MD"
289,1,"Jacob Sellon, MD"
290,1,"Isao Sakaida, MD, PhD"
291,1,"Louis A Cona, MD"
292,1,"Liang Dan, MD"
293,1,"John McGrath, FRCP/FSci/MD"
294,1,Janssen Vaccines & Prevention B.V. Clinical Trials
295,1,"William A Faubion, MD"
296,1,"Josep Maria Segur, MD, PhD"
297,1,"Nirali N Shah, M.D."
298,1,"Henri MONTAUDIE, PH"
299,1,"Brian J Cole, MD, MBA"
300,1,"ISMAIL H DILOGO, MD"
301,1,"Gary S. Gilkeson, MD"
302,1,weidong HAN
303,1,"Hussein Tawbi, MD, PhD"
304,1,"Fernando de la Portilla, Dr."
305,1,"Adeeb AlZoubi, PhD"
306,1,"Xin Du, Prof."
307,1,"Óscar Fernández, MD"
308,1,"Luis F. López Cortés, MD"
309,1,"Zhong Z Ye, Professor"
310,1,"Farhan N Siddiqi, MD"
311,1,"Antonio Jimeno, MD, PhD"
312,1,"Maria P. Yavropoulou, M.D"
313,1,"Seung-Kyu Han, MD. PhD."
314,1,"Mohamed A El-Nazer, PhD"
315,1,"Joon Ho Wang, MD, Ph D"
316,1,"Anthony Oliva, MD"
317,1,"Anthony Oliva, PhD"
318,1,"Dr. Bill Brashier, M.D."
319,1,"William Jarnagin, MD"
320,1,"Mohamed Gamal ElDin Saadi, phd"
321,1,"Eric J Dozois, MD"
322,1,"Cecilie Gjerde, DDS"
323,1,"Hongjun Wang, Ph.D"
324,1,"Steven Powell, MD"
325,1,"Sawa Ito, M.D."
326,1,"Ning K Zhang, MS"
327,1,"Dania P Fischer, M.D."
328,1,"Janssen Research & Development, LLC Clinical Trial"
329,1,"Patrick O'Gara, MD"
330,1,"Stephen P Anthony, DO"
331,1,"Jas Chahal, MD, MSc"
332,1,"Mya Schiess, MD"
333,1,"José Valber Meneses, MD"
334,1,"Inbo Han, MD, PhD"
335,1,Chun Che Shih
336,1,"Wook Chun, MD, PhD"
337,1,"Maboob Rahman, MD"
338,1,"Mohammed Sufath UR Rehman, (MDS)"
339,1,"YU TANG, Dr."
340,1,"Francisco Fernandez Aviles, PhD"
341,1,"cheng yun zheng, PhD"
342,1,"Manuel Jurado Chacón, MD"
343,1,"Gang Zhao, MD"
344,1,"zipu li, MD Phd"
345,1,Hsieh-Hsing Lee
346,1,"Bai-Horng Su, MD, PhD"
347,1,"Luis Orozco, MD, PhD"
348,1,"Daniel Chambers, A/Prof"
349,1,"Michel Assor, MD"
350,1,"Felipe Prosper, MD, PhD"
351,1,"chen bing, doctor"
352,1,"Hein W Verspaget, PhD"
353,1,"Michael N Sack, M.D."
354,1,"Shi X Y, M.D."
355,1,"Anthony J. Windebank, MD"
356,1,"Duk-Hee Kang, MD. PhD."
357,1,"Zibin Tian, MD"
358,1,"Owen M Rennert, M.D."
359,1,"Rik Schots, MD, PhD"
360,1,"Dr Abdul Syukur Abdullah, MD"
361,1,"Geoff Forbes, MD"
362,1,"Donna Skerrett, MD"
363,1,"James N Kochenderfer, M.D."
364,1,Novartis Pharmaceuticals
365,1,"jerome RONCALLI, MD, PhD"
366,1,"Diethelm Tschoepe, Prof Dr Dr"
367,1,"Alix Seif, MD"
368,1,"Oscar Fernandez Fernandez, MD, PhD"
369,1,"Dimitrios Karussis, MD, PhD"
370,1,"Lin B liang, MD/PHD"
371,1,"Raymond J Linovitz, MD"
372,1,"Lin B Liang, MD/PHD"
373,1,"Robert Soler, MD"
374,1,"Zhu k shun, PHD"
375,1,Leslie L Popplewell
376,1,"Seung-Hwan Lee, MD, PhD"
377,1,"Luis M Redondo, MD, PhD"
378,1,"Daniel Chambers, MBBS MRCP FRACP MD"
379,1,"Kevin Garvin, MD"
380,1,"Peter Heider, MD, PhD"
381,1,"Guillaume CHARPENTIER, MD"
382,1,"Rachel Raab, MD"
383,1,Yongtao Lv
384,1,Chengwei Chen
385,1,Hans-Peter Kiem
386,1,"Ricardo R. dos Santos, MD, PhD"
387,1,"Sopha Chia-Ning Chang, M.D. Ph.D."
388,1,"Julio Voltarelli, MD, PhD"
389,1,"SunUk Song, Ph.D."
390,1,"KJ Park, MD, PhD"
391,1,"Albert Saiz, MD"
392,1,"Jong-Woo Choi, M.D.Ph.D."
393,1,"Jan Stolk, MD, PhD"
394,1,"Sang-Hong Baek, M.D.&Ph.D."
395,1,"Kang Sup Yoon, M.D. & Ph.D."
396,1,"Thomas Brinker, Prof. Dr.med."
397,1,"Diego V Clé, MD"
398,1,"Duk L. Na, M.D."
399,1,"Won-Soon Park, M.D., PhD."
400,1,"Gerald W Dryden Jr, MD, PhD"
401,1,"SangHan Kim, MD"
402,1,"Jan Gabinsky, MD, PhD, DSc"
403,1,"Jean Tang, MD, PhD"
404,1,"Rafael J Ruiz-Salmeron, MD, PhD"
405,1,"Yufang Shi, PhD,DVM"
406,1,"Paresh k Doshi, MCh"
407,1,"Xin Du, MD.PhD."
408,1,"Evgeny A Pokushalov, MD, PhD"
409,1,"Consuelo del Cañizo, MD"
410,1,Brian Till
411,1,"Timothy A Damron, MD"
412,1,"Chandan K Sen, PhD"
413,1,"Joshua M. Hare, MD"
414,1,"Christopher James, PA"
415,1,"Emerson C. Perin, MD, PhD"
416,1,"Larry Dillaha, MD"
417,1,"Reza Malekzadeh, M.D."
418,1,"Philippe Rosset, Pr"
419,1,"Frederic Baron, MD, PhD"
420,1,"Elizabeth Shpall, MD"
421,1,"Reza Malekzadeh, M.D"
422,1,"Jih-Jin Tsai, M.D."
423,1,Angela Dispenzieri
424,1,"Mohammad Reza Zali, MD"
425,1,"Jianming Tan, M.D and Ph.D"
426,1,"Ari Harjula, MD; PhD"
427,1,"Evanthia Galanis, MD"
428,1,"Siddharthan Chandran, MBChB, PhD"
429,1,"Hillard M. Lazarus, MD"
430,1,"Vikram Mathews, MD"
431,1,"Mohamed H. Sayegh, MD"
432,1,"Meir Liebergall, Prof."
433,1,"Michelle Williams, Ph.D."
434,1,"Shunsuke Baba, D.D.S, PhD"
435,1,"Gregory Hale, M.D."
436,1,"Axel Mescheder, M.D."
437,1,"Jeffery L Miller, M.D."
438,1,"Mary C. Territo, MD"
439,1,"Heather P. McDowell, MD"
440,1,"Jose Suarez de Lezo, MD, PhD"
441,1,"Jianming Tan T Jianming, professor"
442,1,"Sandhya Kharbanda, M.D."
443,1,"Shervin Oskouei, MD"
444,1,"Zhi-liang Gao, Dr"
445,1,"Chen bing, doctor"
446,1,"Lingyun Sun, MD"
447,1,"Wei Zhao, P.H.D"
448,1,"Deborah Ascheim, MD"
449,1,"Prof. Carsten Tschöpe, MD"
450,1,"Steven C. Cramer, MD, MMSc"
451,1,"Abdel Aziz El Singergy, M.D"
452,1,"Lars Engebretsen, MD,PhD"
453,1,Suresh K R
454,1,"Sreenivas Kumar, MD, DM"
455,1,"Sunil Sharma, MD"
456,1,"Olivier Detante, MD"
457,1,"Benjamin E Reubinoff, MD, PhD"
458,1,"Hamid gourabi, PhD"
459,1,"Lingyun Sun, M.D."
460,1,"Patricia Lemarchand, MD"
461,1,Nico M Wulffraat
462,1,"Hong Hoe Koo, MD, PhD"
463,1,"Philipp Harter, MD"
464,1,"Jeffrey A Cohen, M.D."
465,1,"Jozef Bartunek, MD, PhD"
466,1,"Johann de Bono, MD FRCP MSc PhD"
467,1,"Gabriel P. Lasala, MD"
468,1,"Jacek Toporski, MD, PhD"
469,1,"Dimitrios Karussis, Prof."
470,1,"Prof. Igor B Resnick, MD, PhD, DSci"
471,1,"Marlies Reinders, MD, PhD"
472,1,"Emerson Perin, MD"
473,1,"Manfred M Weiss, MD, MBA"
474,1,"An Yihua, doctor"
475,1,"Alonso C. Moreno Garcia, MD"
476,1,"Fermín M Sánchez Guijo, MD"
477,1,"André Terzic, MD"
478,1,"Rosaria Giordano, MD"
479,1,"Luis Riera del Moral, Doctor"
480,1,"Sally A Frautschy, PhD"
481,1,"Chunde Bao, M.D. & Ph.D."
482,1,"Jason Kovacic, MD"
483,1,"Sergio Alonso Gregorio, MD"
484,1,"Damián García-Olmo, Prof."
485,1,"Daniel Chambers, MRCP FRACP MD"
486,1,"Antonio Ceriello, MD"
487,1,"HECTOR PEINADO, PhD"
488,1,"Dimitrios Karusis, MD, PhD"
489,1,"Nivaldo Alonso, PhD"
490,1,"Nabil Dib, MD, MSc, FACC"
491,1,"Tai-Hyoung Cho, M.D. & Ph.D."
492,1,"Ettore Biagi, MD"
493,1,Enrique Gomez Barrena
494,1,A Bhansali
495,1,"Kyriakos Anastasiadis, MD, PhD, FETCS"
496,1,"Arda Kiani, MD, pulmono"
497,1,"Alice P Chen, M.D."
498,1,"Kyriakos Anastasiadis, MD, PhD FETCS"
499,1,"Vincent Falanga, MD"
500,1,"Guillermo Izquierdo, MD"
501,1,Rafael J. Ruiz-Salmerón
502,1,"Stephen Honeybul, MD"
503,1,"Lingyun Sun, MD, PhD"
504,1,"Soon Koo Baik, M.D"
505,1,"Jorge Bartolucci, Dr."
506,1,"Sharon McQuillan, MD"
507,1,Vincent PROBST
508,1,"Stephen Textor, MD"
509,1,"Qi Zhang, Doctor"
510,1,Daiming Fan
511,1,"ANANT E BAGUL, MS ORTHO"
512,1,"Xiangjin Xu, Professor"
513,1,"Julie A Johnson, PharmD"
514,1,"Elena Parovichnikova, Prof MD PhD"
515,1,"Saud A Sadiq, MD"
516,1,"Daniela F Bueno, PhD"
517,1,"Anne Dompmartin, MD"
518,1,"Yihua An, Doctor"
519,1,"Sean Savitz, MD"
520,1,"Maria Dolores Martin Arranz, MD"
521,1,"Jesus JV Vaquero Crespo, Dr."
522,1,"Abdallah Awidi, MD."
523,1,"Dante Dallari, Surgeon"
524,1,"Edward Stadtmauer, MD"
525,1,Dr Ronan Guillou
526,1,"Soon Koo Baik, M.D.,Ph.D"
527,1,"Manuel Ramírez, MD PhD"
528,1,"Yihua An, Ph.D"
529,1,"Hugo G Oliveira, MD, PhD"
530,1,"Marios P Stavridis, PhD"
531,1,"Dennis A Wigle, MD, PhD"
532,1,"Ahmed Y Gamal, PhD"
533,1,"Javier Garcia-Sancho, MD, PhD"
534,1,"Andrew West, PhD"
535,1,"Giancarlo Comi, MD"
536,1,"Christian Jorgensen, MD, PhD"
537,1,"Donna Skerrett, MD, MS"
538,1,"Steve Cramer, MD"
539,1,"Gennady M. Galstyan, MD PhD"
540,1,"Alexander V Averyanov, MD, PhD"
541,1,Scott Okuno
542,1,"Brian J Cole, MD"
543,1,"Zhi-Liang Gao, Doctor"
544,1,"Brandon Lawrence, MD"
545,1,Dr Anirban Chatterjee
546,1,"Joan Bagó, MD, PhD"
547,1,"Mariano García Arranz, PhD"
548,1,"Mingyuan Wu, MD,PhD"
549,1,"Julian Panes, MD"
550,1,"Kenzie Preston, Ph.D."
551,1,"Franziska Saxer, MD"
552,1,"La-ongsri Atchaneeyasakul, MD"
553,1,"He Huang, MD"
554,1,"Fang Li, MD"
555,1,"John C Burnett, M.D."
556,1,"murat kantarcioglu, MD"
557,1,"Charile Xiang, Professor"
558,1,YiHua An
559,1,"Yihua An, doctor"
560,1,"Charlie Xiang, Professor"
561,1,"Xuetao Pei, MD,PhD"
562,1,"Birgitte Brock, MD phD"
563,1,"Zhenzhou Chen, MD., phD."
564,1,"Norlinah Mohamed Ibrahim, MD"
565,1,"Ya Mohammad Hassan Shukur, MD"
566,1,"Hanafiah Harunarashid, MD"
567,1,"Vikas Agarwal, MD., DM"
568,1,"Prof. Dr. Muhammad Ali Noor Muhd Abdul Ghani, FRCS"
569,1,"Ulrich M. Lauer, Prof. Dr. med."
570,1,"Timothy Gardner, MD"
571,1,"Arun Rajan, M.D."
572,1,"Fengchun Zhang, MD"
573,1,"Alexander Kharlamov, M.D., Ph.D."
574,1,"Jean Philippe Hauzeur, MD, PhD"
575,1,"Christiaan Coetzee, MD"
576,1,"Margarita Calonge, MD, PhD"
577,1,"Loren K Mell, MD"
578,1,"Oteh Maskon, MB Bch"
579,1,"Subra Kugathasan, MD"
580,1,"Oh Young Bang, MD"
581,1,"Kunlin Jin, M.D., Ph.D."
582,1,"Jieruo Gu, M.D."
583,1,MD
584,1,"Duk L. Na, MD,PhD"
585,1,"Andrés Chahín, MD"
586,1,"Fu-Sheng Wang, PHD"
587,1,"Benjamin Fernandez-Gutierrez, MD, PhD"
588,1,"Itzhak Siev-Ner, MD"
589,1,"Sangryong Jeon, MD, PhD"
590,1,"Rebecca Redman, MD"
591,1,"David Neujahr, MD"
592,1,"Han Cheol Lee, M.D. & Ph.D."
593,1,"José María Alvaro-Gracia, MD, PhD"
594,1,"Jeonghan Yoon, Ph.D. M.D."
595,1,"Christian Jorgensen, MD"
596,1,"Yanqing Li, MD, PhD"
597,1,"Kang-Sup Yoon, M.D. & Ph.D."
598,1,"Jim Ritter, MD"
599,1,"Taehyeong Jo, PhD"
600,1,"William YK Hwang, MBBS, FRCP"
601,1,KJ Park
602,1,Liqing Yao
603,1,"Anthony Windebank, MD"
604,1,"Paolo A Muraro, MD PhD"
605,1,"Màrius Aguirre, MD, PhD"
606,1,"Dr. BV Tantry, MD., DM"
607,1,"Duncan Purtill, MB, BS"
608,1,"Michael Nishimura, PhD"
609,1,"Javier García-Sancho, MD, PhD"
610,1,"Fangyu Wang, MD/PhD"
611,1,"Yuman Fong, MD"
612,1,"Michael Patrick Murphy, MD BS"
613,1,Junchao Zhu
614,1,"Wenchun Qu, MD, PhD"
615,1,"Duncan J Stewart, MD"
616,1,"Andrew McCaskie, FRCS"
617,1,"Tim Seidler, Prof."
618,1,"Gokhan T Adas, Prof.Dr."
619,1,"Albert Hakaim, MD"
620,1,"Alfredo Hernandez-Ruiz, MSc"
621,1,"Antoni Torres, MD, PhD"
622,1,"Mustafa Cetin, Prof"
623,1,"Gang Wang, MD,PhD"
624,1,"Tambi Jarmi, MD"
625,1,"George C Shapiro, MD, FACC"
626,1,"Andrei Y Hancharou, Dr."
627,1,"Peter Rosenberger, Prof."
628,1,"Jianming Tan Tan, M.D and Ph.D"
629,1,"Annetine C Gelijns, PhD"
630,1,"Elizabeth Burke, ANP-C"
631,1,"Luis Madero, MD"
632,1,Abdol Hossein Shahverdi
633,1,Julie Laurin
634,1,"Dr.Joshua Rhein, MD"
635,1,"Chyntia O Jasirwan, PhD"
636,1,"Liang-wan Chen, M.D"
637,1,"Marie Hudson, MD"
638,1,"Camillo Ricordi, MD"
639,1,"Carlos A Chiriboga, MD"
640,1,"John Goldberg, MD"
641,1,"LaQuisa Hill, MD"
642,1,"Shoichi Maruyama, MD, PhD"
643,1,"Qiang Fu, M.D."
644,1,"Emil Lou, MD, PhD"
645,1,"Dr. Muhammad Karyana, MPH"
646,1,"Guillermo Sánchez-Vanegas, MD, PhD"
647,1,"Yuji Fujino, MD"
648,1,Liem Nguyen
649,1,"SANG-CHEOL BAE, M.D.,Ph.D."
650,1,"Badrul Akmal Hisham, MBBS"
651,1,"Mya C Schiess, MD"
652,1,"John McCarthy, Ph.D."
653,1,"Yutao LIU, Doctor"
654,1,"Yun Jung Choi, PM"
655,1,"Phil Hyu Lee, MD"
656,1,"Sumaira Irum, MIT"
657,1,"Randall J Kimple, MD,PhD"
658,1,"Jessica Sun, MD"
659,1,"Joshua Hare, MD"
660,1,"Steve Finkbeiner, MD, PhD"
661,1,"Lucia Silla, MD, PhD"
662,1,"David Ingbar, MD"
663,1,"Xiuli Zhao, Doc"
664,1,"GAGNADOUX Frédéric, PhD"
665,1,"Ismail H Dilogo, MD, PhD"
666,1,"Igor Volotovski, Dr"
667,1,"Kenneth M. Borow, MD"
668,1,Jesus Perez
669,1,"Dan Zandberg, MD"
670,1,"Oscar Simonsson, MD, PhD"
671,1,"Yves Beguin, MD,PhD"
672,1,xanab akram
673,1,"wang congrong, doctor"
674,1,"Duc Minh Hoang, PhD"
675,1,"John Londono, MD,PhD"
676,1,"Henry E Wiley, M.D."
677,1,"Myungchul LEE, MD, PhD"
678,1,"Raj Makkar, MD"
679,1,"Prof. Qingsong Ye, PhD,DDS"
680,1,"Zhongming Liu, MD"
