,count,Start Date
114,3,"October 1, 2021"
115,3,"August 12, 2019"
116,3,"March 1, 2020"
117,3,November 2013
118,3,"October 8, 2019"
119,3,May 2010
120,3,April 2010
121,3,"January 1, 2014"
122,3,"October 20, 2017"
123,3,June 2013
124,3,"January 27, 2021"
125,3,September 2012
126,3,April 2022
127,3,November 2014
128,3,"September 1, 2019"
129,3,June 2014
130,3,March 2008
131,3,August 2011
132,3,February 2008
133,3,"October 26, 2018"
134,3,"June 1, 2021"
135,3,"September 6, 2017"
136,3,"November 27, 2019"
137,3,"January 15, 2018"
138,3,"January 1, 2016"
139,3,"August 1, 2018"
140,3,"August 3, 2020"
141,3,"January 1, 2017"
142,3,February 2021
143,3,November 2010
144,3,August 2021
145,3,"February 1, 2019"
146,3,June 2008
147,3,"September 30, 2021"
148,3,July 2011
149,3,"August 1, 2019"
150,3,"January 27, 2017"
151,2,"May 6, 2020"
152,2,March 2018
153,2,"March 11, 2019"
154,2,"December 11, 2017"
155,2,"November 10, 2019"
156,2,"March 16, 2018"
157,2,"February 1, 2020"
158,2,"December 12, 2017"
159,2,"June 19, 2018"
160,2,April 2020
161,2,"April 5, 2019"
162,2,"January 11, 2016"
163,2,July 2017
164,2,June 2011
165,2,"May 17, 2018"
166,2,"May 1, 2017"
167,2,"May 14, 2020"
168,2,"March 1, 2017"
169,2,"January 31, 2019"
170,2,"September 28, 2020"
171,2,May 2020
172,2,December 2020
173,2,"January 3, 2017"
174,2,"December 20, 2017"
175,2,"April 19, 2018"
176,2,"February 12, 2019"
177,2,"February 8, 2017"
178,2,"April 1, 2018"
179,2,"May 19, 2017"
180,2,"July 2, 2019"
181,2,"October 20, 2019"
182,2,"November 8, 2017"
183,2,"July 18, 2020"
184,2,January 2020
185,2,"October 1, 2016"
186,2,"June 11, 2019"
187,2,"July 18, 2017"
188,2,"October 18, 2019"
189,2,September 2018
190,2,"April 17, 2019"
191,2,"July 20, 2017"
192,2,"January 1, 2019"
193,2,"December 1, 2017"
194,2,"September 21, 2018"
195,2,"January 1, 2012"
196,2,"December 1, 2020"
197,2,"September 11, 2019"
198,2,"April 1, 2017"
199,2,"December 13, 2018"
200,2,"April 2, 2019"
201,2,"November 12, 2019"
202,2,"March 5, 2020"
203,2,March 2020
204,2,August 2006
205,2,"March 4, 2020"
206,2,"September 4, 2019"
207,2,October 2017
208,2,"September 25, 2017"
209,2,"June 27, 2018"
210,2,"December 8, 2017"
211,2,"May 2, 2018"
212,2,December 2018
213,2,"April 20, 2020"
214,2,"June 21, 2021"
215,2,October 2006
216,2,"November 17, 2020"
217,2,"September 17, 2018"
218,2,September 2008
219,2,"August 16, 2021"
220,2,"July 5, 2017"
221,2,"September 30, 2020"
222,2,"March 20, 2021"
223,2,"July 29, 2020"
224,2,July 2009
225,2,"September 1, 2021"
226,2,"December 2, 2019"
227,2,August 2012
228,2,October 2007
229,2,"February 14, 2014"
230,2,"June 25, 2020"
231,2,"October 28, 2020"
232,2,"November 30, 2020"
233,2,"December 31, 2021"
234,2,"October 19, 2020"
235,2,"September 15, 2020"
236,2,"March 2, 2021"
237,2,"September 17, 2007"
238,2,June 2007
239,2,"October 17, 2019"
240,2,"November 4, 2020"
241,2,March 2007
242,2,"September 8, 2020"
243,2,"September 25, 2020"
244,2,"December 2, 2020"
245,2,"November 3, 2017"
246,2,January 2007
247,2,"June 8, 2020"
248,2,"May 20, 2019"
249,2,"May 26, 2021"
250,2,November 2021
251,2,"November 19, 2020"
252,2,December 2008
253,2,June 2009
254,2,"April 15, 2021"
255,2,"March 1, 2018"
256,2,May 2005
257,2,"October 13, 2016"
258,2,February 2010
259,2,"August 31, 2021"
260,2,"June 9, 2021"
261,2,"August 19, 2021"
262,2,August 2005
263,2,"September 3, 2021"
264,2,"November 16, 2021"
265,2,"June 5, 2019"
266,2,July 2020
267,2,March 2010
268,2,"January 6, 2020"
269,2,"March 17, 2010"
270,2,"April 12, 2021"
271,2,"March 28, 2019"
272,2,November 2006
273,2,December 2009
274,2,August 2020
275,2,"November 1, 2018"
276,1,"November 21, 2018"
277,1,"March 25, 2015"
278,1,"March 30, 2009"
279,1,"April 24, 2016"
280,1,"June 22, 2017"
281,1,"May 9, 2017"
282,1,"July 14, 2017"
283,1,"July 9, 2018"
284,1,April 2003
285,1,"August 28, 2015"
286,1,"December 15, 2017"
287,1,November 2007
288,1,"August 8, 2017"
289,1,"August 1, 2011"
290,1,"November 20, 2015"
291,1,"September 23, 2016"
292,1,"October 14, 2016"
293,1,November 1995
294,1,August 2007
295,1,"August 18, 2017"
296,1,"September 15, 2017"
297,1,"March 11, 2016"
298,1,"January 5, 2017"
299,1,"December 11, 2021"
300,1,"April 7, 2017"
301,1,"June 1, 2017"
302,1,"May 30, 2017"
303,1,"June 11, 2008"
304,1,"August 7, 2017"
305,1,"March 23, 2018"
306,1,"April 27, 2017"
307,1,"March 20, 2008"
308,1,"January 5, 2010"
309,1,"July 6, 2017"
310,1,"November 16, 2016"
311,1,"January 7, 2016"
312,1,"November 20, 2014"
313,1,"January 31, 2008"
314,1,"December 5, 2017"
315,1,"November 9, 2017"
316,1,July 1999
317,1,"June 20, 2016"
318,1,March 2004
319,1,"September 5, 2017"
320,1,"January 2, 2018"
321,1,"June 5, 2017"
322,1,"February 16, 2018"
323,1,"March 5, 2019"
324,1,"December 21, 2017"
325,1,July 2004
326,1,September 2005
327,1,December 2005
328,1,"October 13, 2015"
329,1,"March 5, 2018"
330,1,"February 11, 2020"
331,1,"June 30, 2018"
332,1,"April 27, 2005"
333,1,"March 22, 2005"
334,1,December 2004
335,1,"July 4, 2018"
336,1,"January 18, 2005"
337,1,"December 15, 2004"
338,1,"December 15, 2014"
339,1,November 2004
340,1,December 2001
341,1,November 1998
342,1,"February 28, 2018"
343,1,"August 17, 2019"
344,1,"August 13, 2018"
345,1,"April 3, 2018"
346,1,November 2019
347,1,"November 18, 2005"
348,1,"August 28, 2017"
349,1,February 2006
350,1,November 2018
351,1,"October 19, 2017"
352,1,"January 1, 2015"
353,1,September 2007
354,1,December 2006
355,1,"July 17, 2017"
356,1,"June 6, 2017"
357,1,"November 17, 2017"
358,1,"October 1, 2013"
359,1,"July 26, 2017"
360,1,"August 30, 2017"
361,1,"September 19, 2017"
362,1,"November 30, 2006"
363,1,"September 14, 2017"
364,1,"November 16, 2017"
365,1,"March 13, 2006"
366,1,"March 22, 2017"
367,1,"November 10, 2017"
368,1,"April 19, 2004"
369,1,July 2008
370,1,"April 13, 2018"
371,1,"September 24, 2017"
372,1,"March 18, 2018"
373,1,"January 18, 2017"
374,1,"August 17, 2006"
375,1,September 2004
376,1,March 2006
377,1,"November 21, 2017"
378,1,"October 10, 2017"
379,1,"September 1, 2014"
380,1,"July 3, 2007"
381,1,"February 15, 2017"
382,1,"August 4, 2010"
383,1,"May 16, 2016"
384,1,"February 13, 2014"
385,1,"February 19, 2016"
386,1,"June 1, 2014"
387,1,"July 7, 2015"
388,1,April 2007
389,1,"March 30, 2018"
390,1,"November 10, 2015"
391,1,"May 11, 2015"
392,1,"October 15, 2013"
393,1,"March 1, 2025"
394,1,"August 8, 2015"
395,1,"November 21, 2016"
396,1,"June 5, 2013"
397,1,"January 20, 2014"
398,1,"November 27, 2017"
399,1,"March 11, 2013"
400,1,"February 8, 2016"
401,1,"January 15, 2013"
402,1,"December 22, 2017"
403,1,"October 10, 2016"
404,1,"May 24, 2016"
405,1,"February 4, 2016"
406,1,"March 1, 2014"
407,1,"February 1, 2017"
408,1,"February 16, 2016"
409,1,"January 7, 2013"
410,1,"October 31, 2017"
411,1,"July 1, 2016"
412,1,"November 13, 2013"
413,1,"March 2, 2015"
414,1,"December 14, 2013"
415,1,"January 31, 2014"
416,1,"February 3, 2015"
417,1,"November 4, 2014"
418,1,"October 21, 2014"
419,1,"July 22, 2015"
420,1,"January 29, 2015"
421,1,"November 28, 2014"
422,1,"April 30, 2014"
423,1,"December 23, 2014"
424,1,"February 28, 2014"
425,1,"December 22, 2014"
426,1,June 2017
427,1,"February 2, 2015"
428,1,"May 13, 2015"
429,1,"June 4, 2014"
430,1,"October 1, 2015"
431,1,"June 4, 2015"
432,1,"May 1, 2015"
433,1,"March 15, 2014"
434,1,"March 31, 2014"
435,1,"March 13, 2015"
436,1,"February 24, 2015"
437,1,"February 23, 2015"
438,1,"March 6, 2015"
439,1,"March 3, 2014"
440,1,"November 25, 2013"
441,1,"April 15, 2015"
442,1,"February 5, 2014"
443,1,"August 2, 2012"
444,1,"September 1, 2013"
445,1,"April 21, 2017"
446,1,"January 4, 2017"
447,1,October 2008
448,1,"January 17, 2017"
449,1,"October 25, 2016"
450,1,"April 1, 2007"
451,1,"April 28, 2015"
452,1,"December 7, 2018"
453,1,"November 2, 2016"
454,1,"December 27, 2016"
455,1,"October 5, 2010"
456,1,"September 7, 2017"
457,1,"June 20, 2017"
458,1,"November 29, 2010"
459,1,"April 4, 2017"
460,1,"January 31, 2016"
461,1,"November 25, 2014"
462,1,"February 27, 2017"
463,1,"May 6, 2014"
464,1,May 2009
465,1,"January 7, 2019"
466,1,"March 15, 2018"
467,1,"March 6, 2018"
468,1,"March 29, 2016"
469,1,"May 19, 2010"
470,1,"July 21, 2010"
471,1,"February 20, 2017"
472,1,"April 12, 2018"
473,1,"May 3, 2018"
474,1,"March 10, 2017"
475,1,"October 21, 2016"
476,1,"October 16, 2017"
477,1,"February 19, 2017"
478,1,"December 14, 2016"
479,1,"May 5, 2015"
480,1,"June 23, 2016"
481,1,"February 24, 2017"
482,1,"October 26, 2016"
483,1,"March 14, 2017"
484,1,"July 19, 2012"
485,1,"June 7, 2017"
486,1,"April 14, 2021"
487,1,August 2004
488,1,"March 3, 2017"
489,1,"February 1, 2013"
490,1,"September 20, 2016"
491,1,"December 5, 2016"
492,1,"February 7, 2012"
493,1,"September 1, 2011"
494,1,"May 19, 2011"
495,1,May 2011
496,1,"September 27, 2012"
497,1,"February 22, 2012"
498,1,"August 5, 2016"
499,1,"March 28, 2017"
500,1,"January 17, 2018"
501,1,"April 17, 2017"
502,1,"September 19, 2011"
503,1,December 2007
504,1,"December 30, 2017"
505,1,"January 11, 2018"
506,1,"October 29, 2018"
507,1,"November 28, 2017"
508,1,"March 14, 2019"
509,1,"April 9, 2020"
510,1,"August 21, 2020"
511,1,"August 10, 2019"
512,1,"November 29, 2017"
513,1,"October 31, 2020"
514,1,"January 28, 2021"
515,1,"November 9, 2020"
516,1,"March 14, 2016"
517,1,"July 24, 2017"
518,1,"November 14, 2020"
519,1,"August 28, 2018"
520,1,"July 23, 2020"
521,1,"May 21, 2017"
522,1,"September 24, 2020"
523,1,"July 20, 2020"
524,1,"October 3, 2016"
525,1,"May 7, 2021"
526,1,"July 25, 2020"
527,1,"June 1, 2019"
528,1,"October 10, 2020"
529,1,"January 11, 2021"
530,1,"November 3, 2020"
531,1,"October 15, 2020"
532,1,"July 19, 2021"
533,1,"April 2, 2021"
534,1,"July 24, 2020"
535,1,"October 23, 2020"
536,1,"March 5, 2021"
537,1,"November 6, 2020"
538,1,"November 15, 2020"
539,1,"January 9, 2020"
540,1,"August 24, 2020"
541,1,"October 20, 2020"
542,1,"May 6, 2021"
543,1,"April 24, 2020"
544,1,"July 14, 2020"
545,1,"January 21, 2021"
546,1,"March 12, 2021"
547,1,"November 10, 2020"
548,1,"September 10, 2020"
549,1,"July 30, 2020"
550,1,"May 2, 2020"
551,1,"November 17, 2016"
552,1,"May 20, 2020"
553,1,"May 7, 2020"
554,1,"April 5, 2020"
555,1,"February 23, 2021"
556,1,"June 30, 2020"
557,1,"March 15, 2020"
558,1,"April 25, 2020"
559,1,"June 7, 2020"
560,1,"April 22, 2020"
561,1,"February 12, 2021"
562,1,"April 30, 2020"
563,1,"June 15, 2020"
564,1,"September 23, 2020"
565,1,"April 14, 2020"
566,1,"April 6, 2020"
567,1,"December 2, 2021"
568,1,"November 2, 2021"
569,1,"January 31, 2015"
570,1,"November 2, 2017"
571,1,"April 27, 2020"
572,1,"May 11, 2020"
573,1,"October 1, 2009"
574,1,"April 13, 2020"
575,1,"April 16, 2020"
576,1,"January 2, 2020"
577,1,"October 22, 2020"
578,1,"June 17, 2020"
579,1,"June 12, 2020"
580,1,"April 10, 2020"
581,1,"May 5, 2020"
582,1,"June 9, 2020"
583,1,"May 1, 2008"
584,1,"January 30, 2021"
585,1,"April 28, 2020"
586,1,"December 30, 2021"
587,1,"June 18, 2020"
588,1,"February 3, 2020"
589,1,"January 7, 2021"
590,1,"January 13, 2020"
591,1,"May 13, 2020"
592,1,"December 15, 2020"
593,1,"September 18, 2020"
594,1,"June 24, 2020"
595,1,"March 4, 2018"
596,1,"September 12, 2021"
597,1,July 2022
598,1,"March 22, 2021"
599,1,"October 20, 2021"
600,1,"October 5, 2021"
601,1,"September 28, 2021"
602,1,"October 13, 2021"
603,1,"October 15, 2021"
604,1,"March 1, 2021"
605,1,"September 15, 2021"
606,1,"February 1, 2022"
607,1,"April 17, 2021"
608,1,"November 1, 2021"
609,1,"April 23, 2021"
610,1,"April 7, 2021"
611,1,"September 3, 2020"
612,1,"July 16, 2021"
613,1,"July 28, 2021"
614,1,"November 9, 2021"
615,1,"December 2, 2018"
616,1,"November 25, 2021"
617,1,"August 18, 2021"
618,1,"July 1, 2022"
619,1,"October 25, 2021"
620,1,"December 22, 2021"
621,1,"January 21, 2022"
622,1,"October 21, 2021"
623,1,"December 15, 2021"
624,1,"October 14, 2021"
625,1,"January 4, 2022"
626,1,July 2023
627,1,"January 20, 2022"
628,1,"November 22, 2021"
629,1,"December 25, 2021"
630,1,"January 25, 2022"
631,1,"January 17, 2021"
632,1,"August 8, 2018"
633,1,"January 6, 2021"
634,1,"February 7, 2022"
635,1,"August 10, 2020"
636,1,"June 2, 2021"
637,1,"October 27, 2020"
638,1,"July 11, 2021"
639,1,"March 16, 2021"
640,1,"February 21, 2020"
641,1,"February 14, 2021"
642,1,"April 19, 2021"
643,1,"September 20, 2018"
644,1,"August 9, 2021"
645,1,"February 18, 2021"
646,1,"March 23, 2021"
647,1,"March 19, 2019"
648,1,"February 17, 2021"
649,1,"March 2, 2018"
650,1,"March 17, 2021"
651,1,"November 30, 2022"
652,1,March 2021
653,1,"October 6, 2021"
654,1,"May 8, 2020"
655,1,April 2021
656,1,"January 10, 2021"
657,1,"July 9, 2020"
658,1,"December 22, 2020"
659,1,"February 9, 2021"
660,1,"April 1, 2021"
661,1,"August 28, 2019"
662,1,"June 15, 2021"
663,1,"August 11, 2021"
664,1,"July 12, 2021"
665,1,"November 12, 2020"
666,1,"June 28, 2021"
667,1,"June 25, 2019"
668,1,July 2021
669,1,"May 18, 2021"
670,1,"August 2, 2020"
671,1,"March 15, 2022"
672,1,"May 25, 2021"
673,1,"October 5, 2020"
674,1,"October 7, 2021"
675,1,"June 14, 2021"
676,1,May 2021
677,1,"September 26, 2019"
678,1,"January 1, 2013"
679,1,"March 15, 2021"
680,1,"March 29, 2021"
681,1,"September 1, 2017"
682,1,June 2020
683,1,"October 7, 2018"
684,1,"January 15, 2022"
685,1,"February 14, 2019"
686,1,"September 10, 2019"
687,1,"May 2, 2019"
688,1,"October 14, 2019"
689,1,"December 15, 2018"
690,1,"November 10, 2018"
691,1,"January 15, 2015"
692,1,"April 1, 2014"
693,1,"February 6, 2019"
694,1,"February 20, 2019"
695,1,"February 25, 2019"
696,1,"March 15, 2019"
697,1,"October 3, 2018"
698,1,June 2019
699,1,"September 25, 2018"
700,1,"January 24, 2019"
701,1,"September 29, 2018"
702,1,"March 31, 2021"
703,1,"January 2, 2019"
704,1,"April 23, 2019"
705,1,March 2022
706,1,"November 19, 2018"
707,1,"July 29, 2019"
708,1,"February 15, 2019"
709,1,"October 23, 2019"
710,1,"January 4, 2019"
711,1,"December 12, 2012"
712,1,"June 20, 2019"
713,1,"August 27, 2013"
714,1,"November 26, 2019"
715,1,"March 13, 2019"
716,1,"December 1, 2012"
717,1,"May 13, 2019"
718,1,"December 26, 2017"
719,1,"July 23, 2017"
720,1,"June 14, 2017"
721,1,"May 12, 2017"
722,1,"January 30, 2019"
723,1,January 2019
724,1,"April 14, 2017"
725,1,"October 2, 2018"
726,1,"September 13, 2018"
727,1,"March 12, 2020"
728,1,"March 20, 2018"
729,1,October 2019
730,1,"August 3, 2018"
731,1,"August 29, 2017"
732,1,"January 21, 2018"
733,1,"April 10, 2018"
734,1,"March 7, 2018"
735,1,"April 15, 2018"
736,1,"October 17, 2018"
737,1,"March 23, 2015"
738,1,"July 30, 2018"
739,1,"December 13, 2017"
740,1,"May 4, 2018"
741,1,"July 23, 2018"
742,1,"January 13, 2017"
743,1,April 2018
744,1,"September 6, 2018"
745,1,"February 1, 2018"
746,1,"January 30, 2018"
747,1,"June 21, 2018"
748,1,"July 10, 2018"
749,1,"December 10, 2017"
750,1,"November 5, 2018"
751,1,"October 30, 2018"
752,1,"March 15, 2016"
753,1,"December 27, 2018"
754,1,"January 9, 2019"
755,1,"May 1, 2019"
756,1,"October 25, 2018"
757,1,"August 18, 2018"
758,1,"July 11, 2018"
759,1,August 2019
760,1,"February 21, 2018"
761,1,"September 10, 2018"
762,1,"November 28, 2016"
763,1,"June 28, 2018"
764,1,"May 11, 2016"
765,1,July 2018
766,1,"January 10, 2018"
767,1,"May 20, 2018"
768,1,"January 16, 2019"
769,1,"November 3, 2014"
770,1,"October 9, 2019"
771,1,"March 22, 2019"
772,1,"January 10, 2020"
773,1,"February 10, 2020"
774,1,"February 18, 2020"
775,1,"March 1, 2003"
776,1,"May 16, 2020"
777,1,"June 11, 2020"
778,1,"December 23, 2019"
779,1,"September 28, 2016"
780,1,"December 3, 2019"
781,1,"March 24, 2020"
782,1,"November 1, 2019"
783,1,"April 15, 2020"
784,1,"July 1, 2017"
785,1,"February 22, 2020"
786,1,"October 23, 2018"
787,1,"December 11, 2019"
788,1,"June 14, 2019"
789,1,"April 4, 2019"
790,1,"August 15, 2019"
791,1,"October 29, 2016"
792,1,"March 4, 2019"
793,1,"February 13, 2018"
794,1,"December 20, 2019"
795,1,"March 16, 2020"
796,1,"November 16, 2020"
797,1,"March 3, 2020"
798,1,"September 14, 2021"
799,1,"February 24, 2021"
800,1,"February 24, 2020"
801,1,"December 10, 2019"
802,1,"August 15, 2017"
803,1,February 2020
804,1,"November 17, 2019"
805,1,"March 20, 2019"
806,1,"January 20, 2021"
807,1,"February 15, 2020"
808,1,"February 12, 2020"
809,1,"February 6, 2020"
810,1,"July 17, 2019"
811,1,"January 27, 2020"
812,1,"November 15, 2019"
813,1,"December 5, 2019"
814,1,"October 4, 2019"
815,1,"January 13, 2019"
816,1,"March 1, 2015"
817,1,"September 9, 2020"
818,1,"December 31, 2019"
819,1,"May 28, 2019"
820,1,"June 6, 2019"
821,1,"March 2, 2019"
822,1,"April 24, 2019"
823,1,"November 5, 2019"
824,1,"May 3, 2019"
825,1,"January 5, 2019"
826,1,"October 12, 2020"
827,1,"September 6, 2019"
828,1,"January 15, 2019"
829,1,"September 9, 2015"
830,1,"December 3, 2018"
831,1,"January 31, 2018"
832,1,"October 16, 2019"
833,1,"April 3, 2019"
834,1,"March 18, 2019"
835,1,"September 5, 2019"
836,1,"July 8, 2019"
837,1,"June 7, 2019"
838,1,"May 17, 2019"
839,1,"July 6, 2015"
840,1,"January 7, 2020"
841,1,"August 16, 2018"
842,1,"February 13, 2020"
843,1,"May 29, 2020"
844,1,"January 29, 2020"
845,1,"September 7, 2019"
846,1,"October 7, 2019"
847,1,"May 20, 2021"
848,1,"November 2, 2018"
849,1,"November 4, 2019"
850,1,"November 21, 2019"
851,1,"July 5, 2019"
852,1,September 2019
853,1,"June 28, 2019"
854,1,"March 9, 2020"
855,1,"June 15, 2017"
856,1,July 2019
857,1,October 2000
858,0,
