,count,Affiliation
328,1,Orthopedic Surgery and Traumatology Department. Knee Unit
329,1,State Research Institute of Circulation Pathology
330,1,"Yonsei University Wonju College of Medicine, Wonju Christian Hospital"
331,1,"Oral and Maxillofacial Surgeon, Río Hortega University Hospital, SACYL, Valladolid, Spain"
332,1,head of Royan Institute
333,1,"Isar Medizin Zentrum, München"
334,1,CHSF-CERITD
335,1,Brody School of Medicine at ECU
336,1,"No.85 Hospital, Changning, Shanghai, China"
337,1,Cardiology Division of Navy General Hospital
338,1,Hospital Sao Rafael
339,1,China Medical University Hospital
340,1,"University Hospital, School of Medicine of Ribeirão Preto, Brazil"
341,1,Inha Univ. College of Medicine
342,1,City of Hope Comprehensive Cancer Center
343,1,SMG-SNU Boramae Hospital
344,1,International Neuroscience Institute Hanover
345,1,University of São Paulo
346,1,"Incharge Stereotactic and functional Neurosurgery,Jaslok Hospital and Research Centre."
347,1,"Department of Infectious Diseases, 3rd Affiliated Hospital of Sun Yat-sen University, China"
348,1,"Endocrinology and Metabolism Department, the south west Hospital of the Third Military Medical University"
349,1,"Haematology Service, University Hospital of Salamanca"
350,1,State University of New York - Upstate Medical University
351,1,Ohio State University
352,1,Texas Heart Institute/St. Luke's Hospital
353,1,INSYS Therapeutics Inc
354,1,"Digestive Disease Research Center, Medical Sciences/ Tehran University, Tehran, Iran"
355,1,Service d'orthopédie II - CHRU de Tours
356,1,"Digestive Disease Research Center, Medical Sciences/ University of Tehran"
357,1,"Chung-Ho Memorial Hospital,Kaohsiung Medical University"
358,1,Research center of Gastroenterology and Liver Disease
359,1,Department of Cardiology. Reina Sofía University Hospital
360,1,"Department of Cardiothoracic Surgery, Helsinki University MeilahtiHospital"
361,1,University of Cambridge
362,1,"Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center"
363,1,"Osiris Therapeutics, Inc."
364,1,Ｉｎstitute of Biomedical Research and Innovation
365,1,Medigene AG
366,1,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)
367,1,Jonsson Comprehensive Cancer Center
368,1,Fred Hutchinson Cancer Research Center/University of Washington Cancer Consortium
369,1,Nanjing University Medical College Affiliated Drum Tower Hospital
370,1,the Second Affiliated Hospital of Southeast University
371,1,Nantes UH - institut du thorax
372,1,"Charite University, Berlin, Germany"
373,1,"University of California, Irvine"
374,1,Department of Orthopedic Surgery Cairo University School of Medicine
375,1,"Bhagawan Mahaveer Jain Heart Centre, Bangalore"
376,1,"Care Hospital, Hyderabad"
377,1,Huntsman Cancer Institute
378,1,Emory University Department of Orthopaedics
379,1,Chief
380,1,Klinikum Essen Mitte
381,1,"Clinic of Anesthesiology, University Hospital Medical School, Steinhoevelstrasse 9, 89070 Ulm, Germany"
382,1,VZW Cardiovascular Research Center Aalst
383,1,Royal Marsdon Hospital/Institute for Cancer Research
384,1,TCA Cellular Therapy
385,1,"Lund University Hospital, Department of Pediatric Oncology"
386,1,Department of Immunology and Clinical Transplantation / Mario Negri Institute for Pharmacological Research and Ospedali Riuniti BG
387,1,Hadassah University Hospital
388,1,LUMC
389,1,Texas Heart Institute
390,1,University of Utah Department of Orthopaedics
391,1,University of Liege
392,1,Dermatology Service
393,1,Christiana Care Health Services
394,1,Nanjing University
395,1,Univ Calif Irvine
396,1,National Research center of Hematology
397,1,Federal Research Clinical Center of Federal Medical and Biological Agency
398,1,Hospital Universitario Niño Jesús
399,1,Universidad Autonoma de Madrid
400,1,IRCCS Ca' Granda Ospedale Maggiore Policlinico
401,1,"VA Greater Los Angeles Healthcare System, West Los Angeles, CA"
402,1,"Department of Rheumatology,Ren Ji Hospital,School of Medicine,Shanghai Jiao Tong University,Shanghai,China"
403,1,Hospital Universitario La Paz
404,1,Weill Medical College of Cornell University
405,1,University of Sao Paulo
406,1,"Cardiovascular and Renal Research, Institute of Moleculare Medicine, University of Southern Denmark"
407,1,"Mayo Clinic, Division of Cardiovascular Diseases, Rochester (MN, USA)"
408,1,San Gerardo Hospital
409,1,"Post Graduate Institute of Medical Education and Research, Chandigarh"
410,1,"Tracheal Diseases Research Center, Shahid Beheshti University of Medical Sciences, Tehran, Iran."
411,1,Roger Williams Medical Center
412,1,"Section Chief of Neurology, University Hospital Virgen Macarena, Spain"
413,1,Ospedale San Raffaele
414,1,Scientific Park Foundation of University of Valladolid
415,1,"Al Azhar universty, faculty of dentistry, cairo, egypt"
416,1,"Hospital Universitario de Salamanca, Salamanca. Spain."
417,1,ICATME-Hospital Quiron Dexeus
418,1,University of Chicago
419,1,"Odontology Department, NIce University Hospital"
420,1,"Post graduate institute of Medical Education & Research, Chandigarh, India"
421,1,Not Affiliated
422,1,Canterbury Christ Church University
423,1,"Kidney Transplant Unit, Helsinki University Hospital, Helsinki, Finland"
424,1,Hospital General Universitario Gregorio Marañón
425,1,Diabetes Care Center of Nanjing Millitary Command
426,1,University of Dundee
427,1,National Research Center for Hematology
428,1,Hospital Sírio Libanês
429,1,"University Hospital, Caen"
430,1,Gastroenterology Department
431,1,Rizzoli Orthopaedic Institute
432,1,Nantes University Hospital
433,1,Chaitanya Hospital
434,1,"Yonsei University, Wonju Christian Hospital"
435,1,Hemodynamics Unit. Hospital Universitario Virgen Macarena.
436,1,Yonsei University Wonju College of Medicine Department of Internal Medicine Devision of Gastroenterology and Hepatology
437,1,Ageless Regenerative Institute
438,1,"S-Evans Biosicences Co.,Ltd"
439,1,"Cell Therapy laboratory and general Surgery Department, Hospital Universitario La Paz"
440,1,"Eastern Union Stem Cell & Gene Engineering Co.,Ltd，Alliancells Biosciences Co., Ltd"
441,1,National Institute on Drug Abuse (NIDA)
442,1,"University Hospital, Basel, Switzerland"
443,1,Siriraj Hospital
444,1,Zhejiang University
445,1,"Department of Nuclear Medicine, Peking Union Medical College Hospital"
446,1,Saglik Bilimleri Universitesi Gulhane Tip Fakultesi
447,1,director of neural stem cell transplantation department in general hospital of chinese armed police forces
448,1,Chinese Industry and Innovative Technology Strategic Alliance of Stem Cells and Regenerative Medicine
449,1,AMRI Hospital
450,1,"S-Evans Biosciences Co., Ltd."
451,1,University of Aarhus
452,1,"Department of Neurosurgery, Zhujiang Hospital"
453,1,Department of Immunology Sanjay Gandhi Post Graduate Institute of Medical Sciences
454,1,"Department of Cardiology, Rigshospitalet"
455,1,KPJ Ampang Puteri Specialist Hospital
456,1,University Hospital Tuebingen
457,1,Instituto Universitario de Oftalmobiología Aplicada (Institute of Applied Ophthalmobiology) - IOBA
458,1,Moores UC San Diego Cancer Center
459,1,Nantes UH
460,1,Hospital Universitario Clinico San Carlos
461,1,"Cartilage Restoration Center, Rush University Medical Center"
462,1,"Air Force Military Medical University, China"
463,1,The Third Affliated Hospital of Sun Yat-sen University
464,1,Universiti Kebangsaan Malaysia Medical Centre
465,1,University of North Texas Health Science Center
466,1,"Department of Rheumatology , Third Affiliated Hospital of Sun Yat-sen University"
467,1,Amgen
468,1,"Clínica Las Condes, Santiago"
469,1,"James Graham Brown Cancer Center, University of Louisville"
470,1,"University of Valladolid, Scientific Park"
471,1,Pusan National University Hospital
472,1,Hospital de la Princesa
473,1,"Department of Gastroenterology, Qilu Hospital"
474,1,SMG-SNU Boramae Medical Center
475,1,"Quintiles, Inc."
476,1,The Second Affiliated Hospital of Kunming Medical University
477,1,"KMC, Mangalore"
478,1,Loyola University Chicago
479,1,National Heart Centre Singapore
480,1,"Royal Liverpool Children's Hospital, Alder Hey"
481,1,"Ege University, Institute of Health Sciences, Department of Stem Cell, Izmir/TURKEY"
482,1,"Director, the Institute of Biophysics and Cell Engineering of NAS of Belarus"
483,1,Shengjing Hospital
484,1,Minimally Invasive Spinal of Shanghai General Hospital
485,1,University of Cambridge & Cambridge University Hospitals NHS Foundation Trust
486,1,University Medical Center Goettingen
487,1,SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi
488,1,Clinica Somer
489,1,TC Erciyes University
490,1,"Chief Medical Officer at Organicell Regenerative Medicine, Inc"
491,1,University hospital Tübingen
492,1,"Chung-Ang University Hosptial, Chung-Ang University College of Medicine"
493,1,"Hospital Infantil Universitario Niño Jesús, Oncohematology Department"
494,1,Alethia Biotherapeutics Inc.
495,1,"Department of Medicine, University of Minnesota"
496,1,Advanced Diagnostics Healthcare
497,1,"University Hospital Río Hortega, Valladolid, Spain"
498,1,"Cipto Mangunkusumo Hospital, Jakarta"
499,1,Sir Mortimer B. Davis - Jewish General Hospital
500,1,Universidad Católica Santiago de Guayaquil
501,1,"Division of Hematology, Oncology and Transplantation, University of Minnesota"
502,1,Fundación Universitaria de Ciencias de la Salud
503,1,Universidad de la Sabana
504,1,Shanghai East Hospital. China.
505,1,The Sixth Medical Center of P.L.A. General Hospital
506,1,"Cleveland Clinic Foundation, Cleveland OH"
507,1,"Center for Research and Development of Health Resources and Services, National Institute of Health Research and Development (NIHRD), Indonesia"
508,1,PPUKM
509,1,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany"
510,1,River Oaks Hospital and Clinics
511,1,"Anterogen Co., Ltd."
512,1,Chief Medical Officer
513,1,UNICEF
514,1,ISCI/University of Miami Miller School of Medicine
515,1,"Beijing Tongren Hospital, CMU"
516,1,"University Hospital, Angers"
517,1,Indonesia University
518,1,Instituto de Medicina Regenerativa
519,1,UPMC Hillman Cancer Center
520,1,CHU de Liège
521,1,NIBMT
522,1,"Oncorus, Inc."
523,1,Nagoya University
524,1,National Eye Institute (NEI)
525,1,The Catholic University of Korea
526,1,American University of Beirut Medical Center
527,1,Clinical Trial Network
528,1,Fudan University
529,1,Ankara Universitesi Teknokent
530,1,Affinity Health
531,1,University of Cincinnati
532,1,King Edward Medical University
533,1,"Shanghai Jiaotong University School of Medicine, Renji Hospital"
534,1,Norwich Medical School
535,1,Soon Chun Hyang University
536,1,Padjadjaran University
537,1,"Director, the Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus"
538,1,Shanghai Chest Hospital
539,1,Inha University Hospital
540,1,VUMC
541,1,the Second Affiliated Hospital Zhejiang University Schoolof Medicine
542,1,The Rockefeller University
543,1,CNMC
544,1,"Department of Center for Maternal Neonatal Care, Nagoya University Hospital"
545,1,"Cedars-Sinai Medical Center, Los Angeles, CA 90048"
546,1,Wuhan University
547,1,"Center for Regenerative Medicine, Renmin Hospital of Wuhan University"
548,1,Hôpital Pitié-Salpêtrière - Assitance Publique - Hôpitaux de Paris
549,1,The Research-Clinical Center for Cardiac Surgery and Transplantology LLP
550,1,Humanitas Clinical Institute
551,1,"Gadjah Mada University, Faculty of Medicine"
552,1,Istituto Clinico Humanitas
553,1,Fondazione IRCCS Istituto Nazionale dei Tumori di Milano
554,1,Research office of wuhan renmin university
555,1,IPO-Porto
556,1,Universidad Complutense de Madrid
557,1,Karolinska Trial Alliance
558,1,Hospital de Cruces
559,1,"Shanghai East Hospital, Tongji University, Shanghai, China"
560,1,"Department of Otorhinolaryngology and Cervicofacial Surgery, UMC Ljubljana"
561,1,"Minsk Scientific-Practical Center for Surgery, Transplantation and Hematology"
562,1,"Ruijin Hospital, Medical School of Shanghai Jiaotong University Shanghai, China"
563,1,"Lecturer of Oral Medicine , Oral diagnosis and Periodontology , Faculty of Dentistry, Beni- Suef University."
564,1,"Navy General Hospital, Beijing"
565,1,"The First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital"
566,1,"Professor, Asan Medical Center"
567,1,Asan Medical Center Nephrology
568,1,"Faculty of Medicine, University of Malaya"
569,1,Tang-Du Hospital
570,1,"Nanobiotechnology Research Center Avicenna Research Institute, ACECR, TEHRAN, IRAN"
571,1,Hospital Canselor Tuanku Muhriz Universiti Kebangsaan Malaysia (HCTM-UKM)
572,1,Pontificia Universidade Católica do Rio Grande do Sul
573,1,Xijing Hospital
574,1,University of Kansas Medical Center
575,1,"Indiana University School of Medicine, Indiana University Simon Cancer Center"
576,1,ImStem Biotechnology
577,1,"Jinling Hospital, China"
578,1,"University Hospital, Limoges"
579,1,Assistant lecturer
580,1,"Attikon University Hospital, Athens, Greece"
581,1,"Rohto Pharmaceutical Co., Ltd."
582,1,"2nd Affiliated Hospital, School of Medicine, Zhejiang University"
583,1,Research Institute of the McGill University Health Centre
584,1,Fundación Oftalmológica de Santander Clínica Carlos Ardila Lulle
585,1,"University of California, San Diego"
586,1,"Tangdu Hospital, Air Force Medical University"
587,1,Children's Hospital of Fudan University
588,1,"Department of Cardiovascular Medicine, TAHA clinical trial group, Shiraz University of Medical Sciences, Shiraz, Iran"
589,1,Clinic of Anaesthesiology and Intensive Care Medicine
590,1,"Angiocrine Bioscience, Inc."
591,1,the Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus
592,1,"Center for Joint Surgery, Southwest Hospital, China"
593,1,Investigator
594,1,Shenzhen University General Hospital
595,1,"Dr. Moewardi General Hospital, Surakarta, Indonesia"
596,1,Guangzhou Women and Children's Medical Center
597,1,"Departemen of Internal Medicine, Faculty of Medicine, University of Indonesia"
598,1,Louisiana State University Health Sciences Center - New Orleans
599,1,"Taiwan Mitochondrion Applied Technology Co., Ltd."
600,1,IBSAL - University Hospital of Salamanca
601,1,The University of Alabama at Birmingham
602,1,Galen Ortopedia Sp. z o. o
603,1,Institut Guttmann
604,1,"University Hospitals Cleveland Medical Center, Case Comprehensive Cancer Center"
605,1,"ICO, IDIBELL"
606,1,Little Alsace Urgent Care Center
607,1,HIMANSHU BANSAL FOUNDATION
608,1,Hematology Department. Hospital Universitario Puerta de Hierro
609,1,Eskişehir Osmangazi University
610,1,"First Affiliated Hospital, Nanjing Medical University"
611,1,"University Hospital of Palermo, Palermo, Italy"
612,1,Osaka University
613,1,University of Alberta
614,1,Severance Hospital
615,1,"Cell and Tissue Bank-Regenerative Medicine, Dr. Soetomo General Academic Hospital, Indonesia"
616,1,"National Cancer Centre, Singapore"
617,1,CHA University
