,count,Title
29,1,To Elucidate the Effect of Mesenchymal Stem Cells on the T Cell Repertoire of the Kidney Transplant Patients
30,1,MT2014-14 IT-MSC for Advanced Cerebral Adrenoleukodystrophy (cALD)
31,1,"Regenerative Cellular Therapies, Physiology, Pathology and Developmental Biology"
32,1,NeuroRegen Scaffold™ With Stem Cells for Chronic Spinal Cord Injury Repair
33,1,BMT Autologous MSCs for GvHD
34,1,Safety & Efficacy of Intramyocardial Injection of Mesenchymal Precursor Cells on Myocardial Function in LVAD Recipients
35,1,"MV-NIS or Investigator's Choice Chemotherapy in Treating Patients With Ovarian, Fallopian, or Peritoneal Cancer"
36,1,Treatment of Osteoarthritis by Intra-articular Injection of Bone Marrow Mesenchymal Stem Cells With Platelet Rich Plasma
37,1,Intracoronary or Intravenous Infusion Human Wharton' Jelly-derived Mesenchymal Stem Cells in Patients With Ischemic Cardiomyopathy
38,1,Large-scale Expansion and Characterization of Mesenchymal Stem Cells for Clinical Application
39,1,Evaluation of the Safety and Potential Therapeutic Effects After Intravenous Transplantation of Cordstem-ST in Patients With Cerebral Infarction
40,1,Early Treatment of Acute Graft Versus Host Disease With Bone Marrow-Derived Mesenchymal Stem Cells and Corticosteroids
41,1,Safety and Efficacy of PNEUMOSTEM® in Premature Infants at High Risk for Bronchopulmonary Dysplasia (BPD) - a US Study
42,1,Allogenic AD-MSC Transplantation in Idiopathic Nephrotic Syndrome (Focal Segmental Glomerulosclerosis)
43,1,Mesenchymal Stem Cell and Islet Co-transplantation
44,1,"Treatment of Fecal Incontinence Using Allogenic-Adipose-derived Mesenchymal Stem Cells: A Prospective, Dose Escalation, Randomized, Placebo-controlled, Parallel-group, Single-blind, Single-center Pilot Study"
45,1,Allogeneic Mesenchymal Stromal Cell Therapy in Renal Transplant Recipients
46,1,Effect Of Mesenchymal Stem Cells Transfusion on the Diabetic Peripheral Neuropathy Patients .
47,1,Interrogation of Exosome-mediated Intercellular Signaling in Patients With Pancreatic Cancer
48,1,Evaluate the Safety and Feasibility of Injecting PMD-MSC Into the Penis to Treat the Symptoms of PD
49,1,Enhancing Guided Bone Regeneration by Modifying a Resorbable Membrane
50,1,Evaluate the Safety and Feasibility of Injecting PMD-MSC Into the Penis to Treat the Symptoms of Mild to Moderate ED
51,1,Allogeneic hMSC Injection in Patients With Hypoplastic Left Heart Syndrome
52,1,A Randomized Controlled Trial of TNK-tPA Versus Standard of Care for Minor Ischemic Stroke With Proven Occlusion
53,1,Safety and Efficacy of Patient's Own AD-MSC and AD-HSC Transplantation in Patients With Severe Aplastic Anemia
54,1,Bone Marrow Derived Mesenchymal Stem Cells in Improving Heart Function in Patients With Heart Failure Caused by Anthracyclines
55,1,Pilot Synovial Fluid Molecular/Stem Cell Response to PRP in Knee Osteoarthritis: Clinical & Imaging Outcome Correlation
56,1,Mesenchymal Stem Cell Administration in the Treatment of Coronary Graft Disease in Heart Transplant Patients
57,1,Safety of Autologous Bone Marrow Derived Mesenchymal Stem Cells in Erectile Dysfunction
58,1,Answer ALS: Individualized Initiative for ALS Discovery
59,1,Mobilization of Mesenchymal Stem Cells During Liver Transplantation
60,1,Effect of BM-MSCs in DCD Kidney Transplantation
61,1,Effect of BM-MSCs on Chronic AMR After Kidney Transplantation
62,1,Effect of BM-MSCs on Early Graft Function Recovery After DCD Kidney Transplant.
63,1,Autologous Bone Marrow Mesenchymal Stem Cell Transplantation for Chronic Ischemic Stroke
64,1,iPSC Neurons From Adult Survivors of Childhood Cancer Who Have Persistent Vincristine-Induced Neuropathy
65,1,Effect of Plasma Derived Exosomes on Cutaneous Wound Healing
66,1,MSC and Kidney Transplant Tolerance (Phase A)
67,1,Clinical Trial of Intravenous Infusion of Fucosylated Bone Marrow Mesenchyme Cells in Patients With Osteoporosis
68,1,Clinical Trial of Use of Autologous Bone Marrow Stem Cells Seeded on Porous Tricalcium Phosphate Matrix and Demineralized Bone Matrix in Patients With Osteonecrosis
69,1,Administration of Expanded Autologous Adult Bone Marrow Mesenchymal Cells in Established Chronic Spinal Cord Injuries
70,1,Autologous Mesenchymal Stem Cells Transplantation in Cervical Chronic and Complete Spinal Cord Injury
71,1,Mesenchymal Stem Cell Treatment for Primary Osteoarthritis Knee
72,1,Autologous Mesenchymal Stem Cells Transplantation in Thoracolumbar Chronic and Complete Spinal Cord Injury Spinal Cord Injury
73,1,Collagen Scaffolds Loaded With HUCMSCs for the Improvement of Erectile Function in Men With Diabetes
74,1,Study to Evaluate the Safety of ALLO-ASC-DFU in the Subjects With Dystrophic Epidermolysis Bullosa
75,1,"Reflux-Induced Oxidative Stress in Barrett's Esophagus: Response, Repair, and Epithelial-Mesenchymal-Transition"
76,1,Umbilical Cord Derived Mesenchymal Stem Cells Treatment in Ischemic Stroke
77,1,A Study to Assess Safety and Efficacy of Umbilical Cord-derived Mesenchymal Stromal Cells in Knee Osteoarthritis
78,1,Treatment of Relapsed and/or Chemotherapy Refractory Advanced Malignancies by CART-meso
79,1,Autologous Bone Marrow Aspirate Concentrate in Patients Undergoing Meniscectomy
80,1,MT2015-20: Biochemical Correction of Severe EB by Allo HSCT and Serial Donor MSCs
81,1,NEPHSTROM for Diabetic Kidney Disease
82,1,Safety and Efficacy Trial Using Allogeneic Human Mesenchymal Stem Cells: The SIRONA Trial
83,1,Efficacy and Safety Evaluation of the Intralesional Recombinant Human Epidermal Growth Factor (rhEGF) in Subjects With Diabetic Foot Ulcer.
84,1,Phase 2 Study of MGCD265 in Patients With Non-Small Cell Lung Cancer With Activating Genetic Alterations in MET
85,1,Autologous Adipose Tissue Derived Mesenchymal Stem Cells for Rotator Cuff Disease
86,1,Role of Mesenchymal Stem Cells in Fat Grafting
87,1,A Safety and Efficacy Study of Autologous Bone Marrow Derived Mesenchymal Stem Cells in Critical Limb Ischemia
88,1,Repeated Subarachnoid Administrations of hUC-MSCs in Treating SCI
89,1,Autologous Mesenchymal Stem Cells Transplantation for Spinal Cord Injury- A Phase I Clinical Study
90,1,A Clinical Trial to Assess the Effect of HC-SVT-1001 and HC-SVT-1002 in the Surgical Treatment of Atrophic Pseudarthrosis of Long Bones (Bonecure)
91,1,Efficacy of Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2
92,1,Mesenchymal Stem Cell Augmentation in Patients Undergoing Arthroscopic Rotator Cuff Repair
93,1,A Perspective Multicenter Controlled Study On Application Of Mesenchymal Stem Cell(MSC) To Prevent Rejection After Renal Transplantation By Donation After Cardiac Death
94,1,Safety and Efficacy of UC-MSCs in Patients With Psoriasis Vulgaris
95,1,Induction With SVF Derived MSC in Living-related Kidney Transplantation
96,1,Effect of SVF Derived MSC in DCD Renal Transplantation
97,1,Intravenous Injection of Adipose Derived Mesenchymal Stem Cell for ALS
98,1,Autologous Mesenchymal Stromal Cells for Multiple Sclerosis
99,1,MSC for Treatment of Interstitial Lung Disease After Allo-HSCT
100,1,Safety of Autologous MSC Infusion to Treat Epilepsy
101,1,Cyclophosphamide Followed by Intravenous and Intraperitoneal Infusion of Autologous T Cells Genetically Engineered to Secrete IL-12 and to Target the MUC16ecto Antigen in Patients With Recurrent MUC16ecto+ Solid Tumors
102,1,Combination of Mesenchymal and C-kit+ Cardiac Stem Cells as Regenerative Therapy for Heart Failure
103,1,The Transendocardial Autologous Cells (hMSC) or (hMSC) and (hCSC) in Ischemic Heart Failure Trial.
104,1,Therapy of Preconditioned Autologous BMMSCs for Patients With Ischemic Heart Disease
105,1,Stem Cell Injection in Cancer Survivors
106,1,Mesenchymal Stemcells for Radiation Induced Xerostomia
107,1,Autologous Stem Cell Study for Adult TBI (Phase 2b)
108,1,Human Autograft Mesenchymal Stem Cell Mediated Stabilization of The Degenerative Lumbar Spine
109,1,Mesenchymal Stem Cells (MSC) for Ovarian Cancer
110,1,Treatment of Relapsed and/or Chemotherapy Refractory Advanced Malignancies by CART133
111,1,Human Autologous MSCs for the Treatment of Mid to Late Stage Knee OA
112,1,Safety and Efficacy of Allogenic Umbilical Cord Blood-derived Mesenchymal Stem Cell Product
113,1,Effect of Exosomes Derived From Red Blood Cell Units on Platelet Function and Blood Coagulation
114,1,Mesenchymal Stem Cell Based Therapy for the Treatment of Osteogenesis Imperfecta
115,1,To Evaluate the Safety and Efficacy of IM and IV Administration of Autologous ADMSCs for Treatment of CLI
116,1,Effectiveness and Safety of MMSCs for Enhancing Hematopoietic Recovery and Prophylaxis of Neutropenic Enterocolitis
117,1,Exosome Testing as a Screening Modality for Human Papillomavirus-Positive Oropharyngeal Squamous Cell Carcinoma
118,1,Safety and Tolerability Of Allogeneic Mesenchymal Stromal Cells in Pediatric Inflammatory Bowel Disease
119,1,Evaluation of Autologous Mesenchymal Stem Cell Transplantation in Chronic Spinal Cord Injury: a Pilot Study
120,1,Stem Cells Therapy for Fecal Incontinence in Children After Posterior Sagittal Ano-rectoplasty
121,1,Clinical Trial of Autologous Adipose Tissue-Derived Mesenchymal Progenitor Cells (MPCs) Therapy for Knee Osteoarthritis
122,1,Stem Cell Models of Best Disease and Other Retinal Degenerative Diseases.
123,1,Subarachnoid Administrations of Adults Autologous Mesenchymal Stromal Cells in SCI
124,1,Clinical Efficacy of Autologous Mesenchymal Bone Marrow Stem Cells in Active & Progressive Multiple Sclerosis
125,1,Mesenchymal Stem Cells Transplantation in Patients With Chronic Renal Failure Due to Polycystic Kidney Disease
126,1,Intra-Osseous Co-Transplant of UCB and hMSC
127,1,Effect of Microvesicles and Exosomes Therapy on β-cell Mass in Type I Diabetes Mellitus (T1DM)
128,1,Mesenchymal Stem Cell Therapy for Lung Rejection
129,1,Safety and Feasibility Study of Intranasal Mesenchymal Trophic Factor (MTF) for Treatment of Asthma
130,1,Allogeneic Umbilical Cord Mesenchymal Stem Cell Therapy for Autism
131,1,UARK 2014-21 A Phase II Trial of Oncolytic Virotherapy by Systemic Administration of Edmonston Strain of Measles Virus
132,1,Feasibility of Generating Pluripotent Stem Cells From Patients With Familial Retinoblastoma
133,1,Autologous Bone Marrow Derived Mesenchymal Stromal Cells (BM-MSCs) in Patients With Chronic Kidney Disease (CKD)
134,1,Intramuscular Transplantation of Muscle Derived Stem Cell and Adipose Derived Mesenchymal Stem Cells in Patients With Facioscapulohumeral Dystrophy (FSHD)
135,1,Effectiveness and Safety of Method of Maxilla Alveolar Process Reconstruction Using Synthetic Tricalcium Phosphate and Autologous MMSCs
136,1,Safety and Efficacy Assessment of Autologous Bone-marrow Derived Adult Mesenchymal Stem Cell Therapy in Patients With Anoxic(or Hypoxic) Brain Injury Pilot Trial
137,1,Treatment of Refractory Sever Systemic Scleroderma by Injection of Allogeneic Mesenchymal Stem Cells
138,1,Treatment of Severe Acute Respiratory Distress Syndrome With Allogeneic Bone Marrow-derived Mesenchymal Stromal Cells
139,1,Allogeneic Mesenchymal Stem Cell Transplantation in Tibial Closed Diaphyseal Fractures
140,1,Evaluate Safety and Efficacy of Intravenous Autologous ADMSc for Treatment of Idiopathic Pulmonary Fibrosis
141,1,Autologous Adipose Derived Stem Cell Therapy for Intervertebral Disc Degeneration
142,1,MSC for Treatment of CMV Infection
143,1,Mesenchymal Stromal Cell Therapy in Renal Recipients
144,1,Genetically Engineered HSV-1 Phase 1 Study for the Treatment of Recurrent Malignant Glioma
145,1,Autologous Mesenchymal Stem Cells Transplantation In Women With Premature Ovarian Failure
146,1,Autologous Stem Cells in Achilles Tendinopathy
147,1,Evaluation of Mesenchymal Stem Cells to Treat Avascular Necrosis of the Hip
148,1,AllogeneiC Human Mesenchymal Stem Cells (hMSC) in Patients With Aging FRAilTy Via IntravenoUS Delivery
149,1,"MV-NIS Infected Mesenchymal Stem Cells in Treating Patients With Recurrent Ovarian, Primary Peritoneal or Fallopian Tube Cancer"
150,1,Genetically Modified Mesenchymal Stem Cell Theraopeutic Against Head and Neck Cancer
151,1,Characterization of Circulating Tumor Cells Captured by c-MET (CTC-MET)
152,1,CART-19 Immunotherapy in Mantle Cell Lymphoma
153,1,Peripheral Blood Stem Cell Combined With Mesenchymal Stem Cells for Treatment of Poor Graft Function
154,1,Human Mesenchymal Stromal Cells For Acute Respiratory Distress Syndrome (START)
155,1,Gene Therapy for B-Cell Non-Hodgkin Lymphoma Using CD19 CAR Gene Transduced T Lymphocytes
156,1,Clinical Trial In The Treatment Of Allogeneic Post-Transplant Cytopenias With Sequential Infusion Of Allogeneic Mesenchymal Cells Expanded In Vitro
157,1,Stem Cell Therapy to Improve Burn Wound Healing
158,1,Stem Cells for the Improvement of Erectile and Cardiac Function in Aging Men
159,1,A Phase I Trial of T Cells Expressing an Anti-GD2 Chimeric Antigen Receptor in Children and Young Adults With GD2+ Solid Tumors
160,1,Allogenic Bone Marrow Derived Mesenchymal Stem Cell Therapy in Cases of Hemophilia
161,1,Mesenchymal Stem Cell in Patients With Acute Severe Respiratory Failure
162,1,Mesenchymal Stem Cell Injection in Amyotrophic Lateral Sclerosis
163,1,A Phase 2 Study of Viagenpumatucel-L (HS-110) in Patients With Non-Small Cell Lung Cancer
164,1,Mesenchymal Stem Cells in Knee Cartilage Injuries
165,1,Treatment of Knee Osteoarthritis by Intra-articular Injection of Bone Marrow Mesenchymal Stem Cells
166,1,A Phase II Trial to Evaluate the Efficacy of AZD6094 (HMPL-504) in Patients With Papillary Renal Cell Carcinoma (PRCC)
167,1,Treatment Protocol of Child SAA With the Injection of Mesenchymal Stem Cells（Umbilical Cord Derived）
168,1,A Study of LY3164530 in Participants With Cancer
169,1,Mesenchymal Stem Cells Transplantation for Ischemic-type Biliary Lesions
170,1,Congestive Heart Failure Cardiopoietic Regenerative Therapy (CHART-2) Trial - THE CHART-2 TRIAL
171,1,Treatment of Tendon Injury Using Allogenic Adipose-derived Mesenchymal Stem Cells (Rotator Cuff Tear)
172,1,SARC028: A Phase II Study of the Anti-PD1 Antibody Pembrolizumab (MK-3475) in Patients With Advanced Sarcomas
173,1,Mesenchymal Stem Cells to Treat Type 2 Diabetes
174,1,Umbilical Cord Blood-derived Mesenchymal Stem Cells in Regeneration of Sweat Glands and Body Repair
175,1,Stem Cell Therapy for Patients With Vascular Occlusive Diseases Such as Diabetic Foot
176,1,Allogenic Mesenchymal Stem Cell for Bone Defect or Non Union Fracture
177,1,Study of Molecular Mechanisms Implicated in the Pathogenesis of Melanoma. Role of Exosomes
178,1,Treatment of Infertility by Collagen Scaffold Loaded With Umbilical Cord Derived Mesenchyma Stem Cells
179,1,Mesenchymal Stem Cell Therapy in Multiple System Atrophy
180,1,Follow-Up Evaluation for Gene-Therapy-Related Delayed Adverse Events After Participation in Pediatric Oncology Branch Clinical Trials
181,1,"Safety, Tolerability, and Immunogenicity Study of Homologous Ad26 Mosaic Vector Vaccine Regimens or Heterologous Ad26 Mosaic and MVA Mosaic Vector Vaccine Regimens With Glycoprotein 140 (gp140) for Human Immunodeficiency Virus (HIV) Prevention"
182,1,Human Umbilical Cord Stroma MSC in Myocardial Infarction
183,1,An Investigation Into the Cardiovascular Risk and Aetiology of CKDu in Sri Lanka
184,1,Mesenchymal Stromal Cells in Adults With Recessive Dystrophic Epidermolysis Bullosa
185,1,the Treatment of Human Bone Marrow Mesenchymal Stem Cells in Ocular Corneal Burn
186,1,Multi-Center Study Safety of Adipose Derived Mesenchymal Stem Cells for the Treatment of Multiple Sclerosis
187,1,Safety Study of Liver Regeneration Therapy Using Cultured Autologous BMSCs
188,1,"Randomized, Parallel Group, Placebo Control, Unicentric, Interventional Study to Assess the Effect of Expanded Human Allogeneic Adipose-derived Mesenchymal Adult Stem Cells on the Human Response to Lipopolysaccharyde in Human Volunteers"
189,1,Intravitreal Mesenchymal Stem Cell Transplantation in Advanced Glaucoma.
190,1,Tissue and Hematopoietic/Mesenchymal Stem Cell for Humanized Xenograft Studies in Melanoma and Squamous Head and Neck Cancer
191,1,Molecular Pathways Involved in the Pathogenesis and Behavior of Mesenchymal Phosphaturic Tumors Causing Oncogenic Osteomalacia
192,1,Stem Cell Therapy for Treatment of Female Stress Urinary Incontinence
193,1,"A Prospective Study of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells, for the Treatment of Pediatric Patients Who Have Failed to Respond to Steroid Treatment for Acute GVHD"
194,1,Cell Therapy With Mesenchymal Stem Cell in Ischemic Limb Disease
195,1,"Study, Double Blind, Randomized, Comparing Two Groups to Evaluate the Safety and Efficacy of Autologous Mesenchymal Stem Cells From Adipose Tissue (CMMAd) in the Treatment of the Faecal Incontinence"
196,1,Human Umbilical Cord Mesenchymal Stem Cell Transplantation in Articular Cartilage Defect
197,1,Treatment of Chronic Graft-Versus-Host Disease With Mesenchymal Stromal Cells
198,1,A Multicenter Phase I/II Clinical Trial to Evaluate Safety of Mesenchymal Stem Cell in Patients With Amyotrophic Sclerosis Lateral
199,1,Mesenchymal Stromal Cells for the Treatment of Non-union Fractures of Long Bones
200,1,Allogeneic Human Umbilical Cord Mesenchymal Stem Cells for a Single Male Patient With Duchenne Muscular Dystrophy (DMD)
201,1,Safety and Feasibility Study of Cell Therapy in Treatment of Spinal Cord Injury
202,1,Clinical Study of Umbilical Cord Tissue Mesenchymal Stem Cells (UC-MSC) for Treatment of Osteoarthritis
203,1,Safety and Efficacy of Intravenous Autologous Mesenchymal Stem Cells for MS: a Phase 2 Proof of Concept Study
204,1,Can Fat Derived Stem Cells (SVF) be Used in the Treatment of Erectile Dysfunction After Prostatectomy
205,1,MSCs With or Without Peripheral Blood Stem Cell for Treatment of Poor Graft Function and Delayed Platelet Engraftment
206,1,MSCs Combined With CD25 Monoclonal Antibody and Calcineurin Inhibitors for Treatment of Steroid-resistant aGVHD
207,1,Cell-Based Approaches For Modeling and Treating Ataxia-Telangiectasia
208,1,Mesenchymal Stem Cells Co-transplantation in Alternative Donor Transplantation of Severe Aplastic Anemia.
209,1,Autologous Mesenchymal Stem Cells for the Treatment of Neuromyelitis Optica Spectrum Disorders
210,1,The Role of RING Ubiquitin Ligases in Biologic and Oncologic Processes in Tissues of Mesenchymal Origin
211,1,MSC Therapy in Liver Transplantation
212,1,Hypoxia and Inflammatory Injury in Human Renovascular Hypertension
213,1,MSC and Cyclophosphamide for Acute Graft-Versus-Host Disease (aGVHD) Prophylaxis
214,1,Phase 1 Clinical Trial of PNEUMOSTEM® Treatment in Premature Infants With Intraventricular Hemorrhage
215,1,A Study on Radiation-induced Pulmonary Fibrosis Treated With Clinical Grade Umbilical Cord Mesenchymal Stem Cells
216,1,Human Umbilical Cord Mesenchymal Stem Cell in Cerebral Hemorrhage Sequela
217,1,Efficacy of Umbilical Cord Mesenchymal Stem Cells in Duchenne Muscular Dystrophy
218,1,Effect of NF-кB Dependent Proinflammation on Osteogenic Differentiation of the Mesenchymal Stem Cells in Type 2 Diabetes
219,1,Umbilical Cord Mesenchymal Stem Cells Injection for Diabetes Secondary Peripheral Arterial Disease
220,1,"Clinical Trial I/II Opened, Randomized and Controlled for the Study of the Use of Stem Cells Therapy in Insulinized Diabetic Patients Type 2 With Critical Ischemia in Lower Limbs (CLI): Study of the Needs of Insulin"
221,1,Treatment With MSC in HIV-infected Patients With Controlled Viremia and Immunological Discordant Response
222,1,Stem Cell Fistula Plug in Cryptoglandular Perianal Fistulas (MSC-AFP)
223,1,Safety and Efficacy of Allogeneic Mesenchymal Stem Cells in Patients With Rapidly Progressive Interstitial Lung Disease
224,1,Blood Collection From Healthy Volunteers and Patients for the Production of Clinical Grade Induced Pluripotent Stem Cell (iPSC) Products
225,1,"A Single-arm,Phase IIa,Safety and Efficacy Trial of Selected MSCs in the Treatment of Patients With PSC & AiH"
226,1,Rituximab Combined With MSCs in the Treatment of PNS (3-4 Stage of CKD)
227,1,Use of Adipose Tissue Derived Mesenchymal Stem Cells for Knee Osteoarthrosis
228,1,Safety and Efficacy of Umbilical Cord Mesenchymal Stem Cell Local Intramuscular Injection for Treatment of Uterine Scars
229,1,ADMSCs for the Treatment of Systemic Sclerosis
230,1,Immunization Strategy With Intra-tumoral Injections of Pexa-Vec With Ipilimumab in Metastatic / Advanced Solid Tumors.
231,1,"Development of the Tool "" iPSC "" for the Functional Study of Mutations Responsible for Mental Retardation"
232,1,Safety and Effectiveness of BM-MSC vs AT-MSC in the Treatment of SCI Patients.
233,1,Lomecel-B on Vaccine-Specific Antibody- Response in Subjects With Aging Frailty
234,1,Efficacy of Bone Marrow Mesenchymal Stem Cell in Pulmonary Hemosiderosis
235,1,Escalated Application of Mesenchymal Stem Cells in Amyotrophic Lateral Sclerosis Patients
236,1,"MAGE-A10ᶜ⁷⁹⁶T for Urothelial Cancer, Melanoma or Head and Neck Cancers"
237,1,Investigator Initiated Trial to Evaluate the Efficacy and Safety of Intra-articular Injection of ADMSC Comared to Negative Control After High Tibial Osteotomy in the Osteoarthritis Patients.
238,1,Donor Bone Marrow Derived Mesenchymal Stem Cells in Controlling Heart Failure in Patients With Cardiomyopathy Caused by Anthracyclines
239,1,Intrathecal Administration of Expanded Wharton's Jelly Mesenchymal Stem Cells in Chronic Traumatic Spinal Cord Injury
240,1,Treatment of Knee Osteoarthritis With Autologous Mesenchymal Stromal Cell Product (RegStem)
241,1,Stem Cell Ophthalmology Treatment Study II
242,1,Comparing Mesenchymal Stem Cell Counts in Unilateral vs. Bilateral Posterior Superior Iliac Spine Bone Marrow Aspiration
243,1,Phase 1 Crohn's Pediatric Sub-study of MSC AFP
244,1,A Study of Cell Therapy for Subjects With Acute Kidney Injury Who Are Receiving Continuous Renal Replacement Therapy
245,1,"Genetically Modified T Cells and Decitabine in Treating Patients With Recurrent or Refractory Ovarian, Primary Peritoneal, or Fallopian Tube Cancer"
246,1,"VSV-hIFNbeta-NIS With or Without Ruxolitinib Phosphate in Treating Patients With Relapsed or Refractory Multiple Myeloma, Acute Myeloid Leukemia, or T-cell Lymphoma"
247,1,Relative Bioavailability of Two Tepotinib Film-Coated Tablet Formulations in Healthy Volunteers
248,1,"Network Of Clinical Research Studies On Craniosynostosis, Skull Malformations With Premature Fusion Of Skull Bones"
249,1,Intra-articular Injection of MSCs in Treatment of Knee OA
250,1,Use of Wharton Jelly Derived Mesenchymal Stem Cells for Knee Osteoarthrosis
251,1,Stem Cells for Treatment of Bronchopleural Fistula
252,1,MSC Administration for the Management of Type 1 Diabetic Patients
253,1,Use of Stem Cells in Diabetes Mellitus Type 1
254,1,Validation of a Production Method of Stem Cell Isolated From the Nasal Cavity for an Innovative Cell Therapy of Cleft Palate
255,1,Safety and Preliminary Efficacy of FAB117-HC in Patients With Acute Traumatic Spinal Cord Injury
256,1,Study of Two Intrathecal Doses of Autologous Mesenchymal Stem Cells for Amyotrophic Lateral Sclerosis
257,1,Safety of FURESTEM-CD Inj. in Patients With Moderate to Severe Plaque-type Psoriasis
258,1,Safety and Efficacy Study of Vaccine Schedule With Ad26.Mos.HIV and MVA-Mosaic in Human Immunodeficiency Virus (HIV)-Infected Adults
259,1,A Study of CYP-001 for the Treatment of Steroid-Resistant Acute Graft Versus Host Disease
260,1,Ph1 Administration of VSV-IFNβ-NIS Monotherapy and in Combination With Avelumab in Pts With Refractory Solid Tumors
261,1,Long-term Safety and Efficacy of FURESTEM-CD Inj. in Patients With Moderately Active Crohn's Disease(CD)
262,1,Generation of Powerful Biological Tools for Understanding the Pathophysiology of Chronic Granulomatous Disease.
263,1,Antiplatelet Therapy Effect on Extracellular Vesicles in Acute Myocardial Infarction
264,1,Autologous Adipose-Derived Adult Stem Cell Transplantation for Corneal Diseases
265,1,Establishment and Clinical Assessment of a Prostate Cancer (PCa) Risk Model Based on the Updated Circulating Tumor Cell (CTC) Detection Technique
266,1,Investigation of Mesenchymal Stem Cell Therapy for the Treatment of Osteoarthritis of the Knee
267,1,Human Mesenchymal Stem Cells in the Synovial Fluid of the Hip
268,1,"Safety and Immunogenicity of Pfs25M-EPA/AS01 and Pfs230D1M-EPA/AS01 Vaccines, Transmission Blocking Vaccines Against Plasmodium Falciparum, at Full and Fractional Dosing in Adults in Mali"
269,1,Mesenchymal Stromal Cell Derivatives in the Treatment of Chronic Diabetic Foot Ulcers Type 1 and 2
270,1,Stem Cell Transplantation in Cirrhotic Patients
271,1,Safety of Wharton Jelly in Erectile Dysfunction
272,1,Bone Marrow Mesenchymal Stem Cells in Erectile Dysfunction (ED)
273,1,Collagen Membrane Combined With HUC-MSCs Transplantation in Patients With Nasal Septum Perforation
274,1,"A Study to Assess the Safety, Tolerability and Potential Efficacy of a Tracheal Replacement Consisting of a Tissue-engineered Tracheal Scaffold With Seeded Mesenchymal Cells"
275,1,Application of Detecting Circulating Tumor Cells in the Accurate Treatment of Early Stage Lung Adenocarcinoma
276,1,Dendritic Cells-Derived Exosomes in Human Sepsis
277,1,Safety and Tolerance of Immunomodulating Therapy With Donor-specific MSC in Pediatric Living-Donor Liver Transplantation
278,1,Indenoisoquinoline LMP744 in Adults With Relapsed Solid Tumors and Lymphomas
