,count,Interventions
154,1,Other: BM-MSCs|Other: Saline
155,1,Biological: Allogeneic bone marrow-derived mesenchymal stromal cells
156,1,Other: Mesenchymal stem cell transplantation
157,1,Procedure: Stem Cells Injection Technique|Procedure: Stem Cell Isolation
158,1,"Other: BM-MSCs|Other: Desensitization therapy (PP, IVIG, rituximab or Bortezomib)"
159,1,Other: bone marrow-derived mesenchymal stem cells|Other: Saline|Drug: Induction therapy (ATG or Basiliximab)|Drug: Maintenance therapy (Low-dose CNI + MPA + steroids)
160,1,Procedure: blood samples
161,1,Biological: Mesenchymal progenitor cells|Biological: Sodium Hyaluronate
162,1,Biological: Adult Autologous Mesenchymal Bone Marrow Cell
163,1,Other: Intravenous infusion of cells
164,1,Biological: Intravenous injection autologous mesenchymal stem cells
165,1,Drug: recombinant human Epidermal Growth Factor (rhEGF)|Other: Placebo
166,1,Drug: MGCD265
167,1,Biological: HYNR-CS inj.
168,1,Drug: MSC+ATG
169,1,Biological: NeuroRegen scaffold with BMMCs or MSCs transplantation
170,1,Drug: Tenecteplase|Drug: Antiplatelet treatment
171,1,Other: BioMend Extend|Other: Modified BioMend Extend
172,1,Drug: mesenchymal stem cell
173,1,Other: Intravenous administration of placebo|Drug: Intravenous administration of 1 million of MSC|Drug: Intravenous administration of 2 million of MSC|Drug: Intravenous administration of 4 million of MSC
174,1,Drug: Infusion of MSC|Drug: Infusion of placebo
175,1,Drug: Stem cell infusion
176,1,Biological: Umbilical Cord Mesenchymal Stem Cell
177,1,Drug: Mesenchymal stem cells|Drug: Suspension media
178,1,Drug: LY3164530
179,1,Drug: Rabbit antithymoglobulin (ATG)|Procedure: Adipose derived mesenchymal stem cells ( AD-MSCs)|Procedure: AD-MSC transdifferentiated HSCs (AD-HSCs)
180,1,Biological: clinical grade umbilical cord mesenchymal stem cells
181,1,Drug: pneumostem
182,1,Biological: Mesenchymal Stem Cell Transplantation|Drug: Standard of Care for Heart Failure
183,1,Biological: Cartistem
184,1,Drug: AB-16B5
185,1,Other: Allogeneic mesenchymal stem cells|Device: Polyurethene Film
186,1,Genetic: mesenchymal stem cells
187,1,Drug: mesenchymal stromal cells
188,1,Biological: ALLO-ASC injection|Drug: Placebo
189,1,Drug: Infusion of mesenchymal stem cells from adipose tissue|Other: Infusion of placebo
190,1,Biological: allogenic adipose stem cell injection|Biological: fibrin glue/normal saline injection|Biological: normal saline injection
191,1,Drug: Pembrolizumab
192,1,Biological: Umbilical cord mesenchymal stem cells|Biological: Controlled suspension liquid
193,1,Biological: Cordstem-ST|Biological: Placebo
194,1,Other: 103024-F
195,1,Biological: WJMSCs Vs. placebo|Biological: Placebo
196,1,Biological: UCB Mesenchymal Stem Cells treatment
197,1,Biological: 100 million Bone marrow mesenchimal stem cells|Biological: Platelet Rich plasma (PRGF)
198,1,Biological: blood test
199,1,Biological: Bevacizumab|Drug: Gemcitabine Hydrochloride|Other: Laboratory Biomarker Analysis|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter|Drug: Paclitaxel|Drug: Pegylated Liposomal Doxorubicin Hydrochloride|Other: Quality-of-Life Assessment|Drug: Topotecan Hydrochloride
200,1,Biological: MPC Intramyocardial Injection|Drug: Control Solution
201,1,Biological: Autologous mesenchymal stromal cells (MSCs)
202,1,Drug: Rexlemestrocel-L|Drug: Rexlemestrocel-L + HA Mixture|Drug: Placebo
203,1,Drug: Cyclophosphamide|Biological: Mesenchymal stromal cells
204,1,Genetic: iCasp9M28z T cell infusions|Drug: cyclophosphamide|Drug: pembrolizumab
205,1,Drug: remestemcel-L
206,1,Biological: Platelet Rich Plasma|Other: Normal Saline
207,1,Drug: huc-MSCs|Drug: Placebo
208,1,Drug: Allogeneic Mesenchymal Bone Marrow Cells (aMBMC)|Drug: Lactated Ringer's Solution
209,1,Device: Arterial Stiffness Assessment
210,1,Drug: Autologous MSC from bone marrow|Drug: Placebo comparator
211,1,Drug: XCEL-MT-OSTEO-ALPHA|Other: autologous iliac crest|Procedure: Surgery
212,1,Drug: Autologous mesenchymal stem cells
213,1,Drug: Fludarabine|Drug: Cyclophosphamide|Biological: Anti-CD19-CAR transduced T cells
214,1,Drug: Mesenchymal stromal cells
215,1,Behavioral: standardized diagnostic assessment|Behavioral: self-report questionnaires|Behavioral: behavioral tasks|Other: physiological measurements|Other: structural and functional magnetic resonance imaging and EEG|Other: biomarker and microbiome assessments|Other: blood to derive induced pluripotent stem cells|Other: genetic and epigenetic assessments
216,1,Biological: BM-MSCs/fibrin glue/collagen fleece|Other: Fibrin glue/collagen fleece|Procedure: Open flap debridement
217,1,Biological: Percutaneous injection|Other: Percutaneous injection
218,1,Procedure: Autologous bone marrow stem cell graft
219,1,Other: UC-MSCs by peripheral intravenous infusion|Drug: received hormone maintenance therapy
220,1,Biological: Intravenous and intrathecal human umbilical cord tissue-derived mesenchymal stem cells and bone marrow mononuclear cells
221,1,Drug: Mesenchymal stem cell|Procedure: Mesenchymal stem cell delivery with stent placement
222,1,Biological: Mesenchymal Stem Cell (MSC) therapy
223,1,Biological: Human umbilical cord tissue-derived mesenchymal stem cells
224,1,Other: adipose derived stem cells
225,1,Drug: Linagliptin
226,1,Biological: Ad26.Mos.HIV|Biological: MVA-Mosaic|Biological: gp140 DP Low-dose|Biological: gp140 DP High-dose|Drug: Placebo
227,1,Drug: Allogenic MSC|Drug: Normal saline
228,1,Other: Autologous bone marrow mesenchymal stem cells
229,1,Biological: Viagenpumatucel-L|Drug: Nivolumab|Drug: Pembrolizumab|Drug: Pemetrexed
230,1,Drug: CD25 monoclonal antibody|Drug: calcineurin inhibitors|Biological: MSCs
231,1,Biological: Allogeneic mesenchymal stromal cells
232,1,"Other: Skin biopsy, genotyping and disease phenotyping"
233,1,Other: A-T iPS cell line|Other: Carrier patients iPS cell line
234,1,Drug: Mesenchymal stem cell injection
235,1,Other: autologous adipose derived mesenchymal stem cell
236,1,Biological: stem cell transplantation
237,1,Procedure: autologous bone marrow aspirate concentrate by centrifugation
238,1,Other: Cessation of Acid Suppressing Medications
239,1,Biological: Collagen membrane + HUC-MSCs
240,1,Procedure: lobectomy|Procedure: segmentecomy|Drug: chemotherapy（pemetrexed+CISPLATIN）|Procedure: Lymphadenectomy|Other: CanPatrolTM to detect CTCs
241,1,Drug: Antibiotics
242,1,Biological: BMAC injection|Biological: PRP injection|Device: Gel-One® hyaluronate injection
243,1,Biological: UCMSC
244,1,Other: Best Practice|Other: Laboratory Biomarker Analysis|Biological: Mesenchymal Stem Cell Transplantation
245,1,Biological: Wharton Jelly derived mesenchymal stem cell
246,1,Drug: Rituximab|Drug: conventional therapy|Drug: Mesenchymal stem cells
247,1,Biological: Adipose tissue derived mesenchymal stem cell
248,1,Other: Umbilical cord MSCs|Other: 0.9% Saline
249,1,Biological: injection of autologous stromal vascular fraction
250,1,Biological: Pexa-Vec|Drug: Ipilimumab
251,1,Procedure: Cutaneous biopsy
252,1,Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Biological: Fluzone High Dose Vaccine
253,1,Biological: Bone marrow mesenchymal stem cells in treatment of Idiopathic pulmonary hemosiderosis
254,1,Biological: Autologous Mesenchymal stem cells (MSCs)
255,1,Genetic: Autologous genetically modified MAGE A10ᶜ⁷⁹⁶T cells
256,1,Biological: Orbcel-C
257,1,Biological: Autologous Adipose Tissue derived MSCs 1x10^8cells/3ml
258,1,Drug: XCEL-UMC-BETA|Drug: Placebo
259,1,Procedure: Cadaveric decellularised tracheal scaffold seeded with autologous mesenchymal cells
260,1,Biological: Mesenchymal stem cell transplantation
261,1,Procedure: Arm 1|Procedure: Arm 2|Procedure: Arm 3
262,1,Other: dac-MSCs|Other: MSCs|Drug: Fitostimoline
263,1,Drug: 20 million Allogeneic Mesenchymal Human Stem Cells|Drug: 100 million Allogeneic Mesenchymal Human Stem Cells
264,1,Drug: ADSTEM Inj. (Adult human mesenchymal stem cells)
265,1,Other: Liquid biopsy
266,1,Drug: Pneumostem|Drug: Normal saline
267,1,Biological: CB-AC-02|Biological: Placebo
268,1,Procedure: sampling mesenchymal stem cells
269,1,Drug: FAB117-HC|Other: Control group
270,1,Other: Two intrathecal MSC injections
271,1,Biological: FURESTEM-CD Inj.
272,1,Biological: Ad26.Mos.HIV|Biological: MVA-Mosaic|Drug: Placebo
273,1,Biological: Mesenchymoangioblast-derived mesenchymal stem cells
274,1,Biological: VSV-IFNβ-NIS|Biological: VSV-IFNβ-NIS and avelumab
275,1,Biological: stem cells
276,1,Other: samples collection : hair and skin biopsy
277,1,Drug: Ticagrelor|Drug: Clopidogrel
278,1,Procedure: Lipoaspiration|Procedure: Transplantation
279,1,Biological: Adipose mesenchymal cells with bone marrow mononuclear cells
280,1,Other: Blood draws
281,1,Biological: Pfs25M-EPA|Biological: Pfs230D1M-EPA|Other: AS01|Biological: Engerix-B|Biological: Menactra|Other: Normal Saline|Drug: Coartem
282,1,Biological: RegStem
283,1,Procedure: Unilateral Bone Marrow Procurement|Procedure: Bilateral Bone Marrow Procurement
284,1,Biological: umbilical-cord mesenchymal stromal cells|Drug: Hyaluronic Acid
285,1,Biological: Stem Cell Therapy
286,1,Biological: Recombinant human Apo-2 ligand for Injection|Biological: Placebo
287,1,Biological: anti-CD19/20-CAR vector-transduced T cells
288,1,Procedure: Regenerative Endodontic Procedure|Procedure: Conventional Root Canal Treatment
289,1,Biological: 3D-Tissue Engineered Bone Equivalent
290,1,Biological: Autologous Human Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T-lymphocytes|Drug: Cyclophosphamide|Drug: Fludarabine|Other: Laboratory Biomarker Analysis|Procedure: Leukapheresis|Other: Pharmacological Study
291,1,Biological: mesenchymal stem cells|Drug: cyclophosphamide administration
292,1,Other: Blood samples
293,1,Drug: Selumetinib (AZD6244 hyd sulfate) 50mg/dose|Drug: Selumetinib (AZD6244 hyd sulfate) 25mg/m2
294,1,Radiation: External Beam Radiation Therapy|Drug: Metformin Hydrochloride|Other: Placebo
295,1,Biological: autologous bone marrow concentrate|Biological: bone substitute i-FactorTM|Procedure: core decompression
296,1,Biological: ALLO-ASCs
297,1,Other: Intestinal biopsies during colonoscopy|Other: Biopsies taken on surgical specimen
298,1,Drug: AstroStem|Other: Placebo-Control
299,1,Procedure: Biopsy|Procedure: Computed Tomography|Other: Fluorine F 18 Tetrafluoroborate|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Procedure: Planar Imaging|Procedure: Positron Emission Tomography|Biological: Recombinant Vesicular Stomatitis Virus-expressing Human Interferon Beta and Sodium-Iodide Symporter|Drug: Ruxolitinib|Drug: Ruxolitinib Phosphate|Procedure: Single Photon Emission Computed Tomography|Drug: Technetium Tc-99m Sodium Pertechnetate
300,1,Biological: clonal fetal MSCs
301,1,Biological: Olfactory mucosa-derived mesenchymal stem cells
302,1,Genetic: Autologous genetically modified MAGE-A4ᶜ¹º³²T cells|Radiation: Autologous genetically modified MAGE-A4c1032T cells combined with low dose radiation
303,1,Biological: GMSCs and collagen scaffolds|Biological: Collagen scaffolds|Procedure: Open flap debridement
304,1,Drug: OMO-1
305,1,Biological: MPC; rexlemestrocel-L
306,1,Biological: Biocomplex: aBM-MSCs/fibrin glue/collagen fleece|Procedure: Two-stage surgical implant placement
307,1,Drug: Only 1 arm: treatment with MSC-AFP
308,1,Biological: mesenchymal stem cells|Procedure: without mesenchymal stem cells
309,1,Biological: SBI-101|Device: Sham
310,1,Biological: Aldesleukin|Drug: Cyclophosphamide|Drug: Decitabine|Biological: Genetically Engineered NY-ESO-1-specific T Lymphocytes|Other: Laboratory Biomarker Analysis
311,1,Procedure: Computed Tomography|Drug: Cyclophosphamide|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Biological: Recombinant Vesicular Stomatitis Virus-expressing Human Interferon Beta and Sodium-Iodide Symporter|Drug: Ruxolitinib Phosphate|Procedure: Single Photon Emission Computed Tomography
312,1,Drug: Tepotinib test (Treatment Period 1)|Drug: Tepotinib reference (Treatment Period 2)|Drug: Tepotinib reference (Treatment Period 1)|Drug: Tepotinib test (Treatment Period 2)
313,1,Other: Craniosynostosis Network Environmental Survey|Other: 2D/3D Photography|Procedure: Buccal Swab Cell Sampling|Procedure: Blood sampling|Procedure: Skin Biopsy|Procedure: Tissues from a Clinically Indicated Procedure|Procedure: Pre-operative CT Scan Image Files.
314,1,Biological: Placenta Derived Mesenchymal Stem Cell|Drug: Sodium Hyaluronate
315,1,Drug: LMP744
316,1,Procedure: Blood samples|Procedure: Portal vein blood sample
317,1,Biological: Placebo transplantation|Biological: HUC-MSCs transplantation
318,1,Biological: Human umbilical cord derived CD362 enriched MSCs|Biological: Placebo (Plasma-Lyte 148)
319,1,Drug: Allogeneic Mesenchymal Stromal Cell|Other: Placebo
320,1,Biological: Dental Implant with PRFM|Biological: Dental Implant with PRFM and PBMSCs
321,1,Drug: Atorvastatin|Drug: Intensive Atorvastatin|Drug: Low dose BMMSC|Drug: Middle dose BMMSC|Drug: High dose BMMSC|Drug: Transplantation
322,1,Biological: OrienX010
323,1,Biological: Stempeucel(R)
324,1,Biological: Allo-hMSCs|Biological: Placebo
325,1,Biological: UCMSCs|Biological: BMMSCs|Other: Placebo
326,1,Procedure: SVF injection
327,1,Biological: MSC-PLGA
328,1,Biological: Injection of mesenchymal stem cells|Biological: Injection of albumin alone
329,1,Radiation: radiotherapy
330,1,Biological: anterior iliac crest graft|Biological: lateral ramus cortical bone+BFPSC+NBBM|Biological: anterior iliac crest graft+BFPSC+NBBM
331,1,Biological: aflibercept
332,1,Biological: EGFRvIII CAR T cells
333,1,Procedure: large volume whole-lung lavage (WLL)|Biological: clinical grade umbilical cord mesenchymal stem cells
334,1,Biological: Stem cells|Other: Placebo
335,1,Device: Medical Collagen Membrane with MSC|Device: Medical Collagen Membrane
336,1,Biological: UCMSCs|Biological: Placebo
337,1,Drug: JointStem|Drug: Synvisc-One
338,1,Drug: Allogeneic Bone Marrow derived Human Mesenchymal Stem Cells (hMSCs)
339,1,Drug: Imatinib
340,1,Biological: Allogeneic bone marrow derived mesenchymal stem cells
341,1,Biological: UC-MSCs Gel group|Other: Gel group
342,1,Drug: Adult Allogeneic Mesenchymal cells from adipose tissue.
343,1,Drug: Golimumab (GLM)
344,1,Biological: NeuroRegen scaffold/mesenchymal stem cells transplantation|Biological: NeuroRegen scaffold/neural stem cells transplantation
345,1,Device: Arthroscopic synovial brushing|Procedure: Microfracture
346,1,Biological: umbilical cord mesenchymal stem cells and hyaluronic acid|Drug: hyaluronic acid
347,1,Procedure: Computed Tomography|Other: Laboratory Biomarker Analysis|Biological: Oncolytic Measles Virus Encoding Thyroidal Sodium Iodide Symporter|Other: Quality-of-Life Assessment|Procedure: Single Photon Emission Computed Tomography
348,1,Other: ExoIntelliScore Prostate
349,1,Drug: Subcutaneous glargine insulin|Drug: Regular insulin added to TPN bag
350,1,Biological: Mesenchymal Stem Cells(MSCs)
351,1,Biological: JOINTSTEM|Drug: Saline solution
352,1,Procedure: Laparoscopic surgery|Device: NeuroRegen scaffold transplantation|Biological: NeuroRegen scaffold/BMMCs transplantation|Biological: NeuroRegen scaffold/HUC-MSCs transplantation
353,1,Biological: E7 TCR cells|Drug: Aldesleukin|Drug: Fludarabine|Drug: Cyclophosphamide
354,1,Biological: BM-MSC transplantation
355,1,Biological: anti-meso-CAR vector transduced T cells
356,1,Biological: Bone Marrow Aspirate Concentrate|Procedure: Standard Meniscectomy
357,1,Drug: Thymoglobulin|Drug: Cyclophosphamide|Drug: Fludarabine|Radiation: Total Body Irradiation|Procedure: Bone marrow infusion|Drug: Tacrolimus|Drug: Mycophenolate Mofetil|Biological: Donor mesenchymal stem cell infusions|Drug: Busulfan
358,1,Biological: Peripheral Intravenous (IV) infusion of LMSCs
359,1,Other: in vitro study
360,1,Drug: Bone marrow mesenchymal stem cells|Drug: Placebo
361,1,Biological: Longeveron Mesenchymal Stem Cells|Biological: Placebo
362,1,Biological: Intraovarian injection of Adipose derived Stromal cells (ADSCs)
363,1,Drug: Amivantamab|Drug: Lazertinib|Drug: Carboplatin|Drug: Pemetrexed
364,1,Biological: Allogeneic bone marrow-derived MSCs (1 x 10 6 MSC/kg)|Biological: Allogeneic bone marrow-derived MSCs (3 x 10 6 MSC/kg)|Biological: Allogeneic bone marrow-derived MSCs (6 x 10 6 MSC/kg)|Biological: Allogeneic bone marrow-derived MSCs (10 x 10 6 MSC/kg)
365,1,Biological: Infusion of Autologous Bone Marrow Mononuclear Cells
366,1,Biological: ALLO-ASC-DFU|Device: Conventional Therapy
367,1,Drug: XCEL-MT-OSTEO-BETA|Procedure: Surgical treatment
368,1,Drug: Low Dose Mesenchymal Stem Cells (MSCs)|Drug: High Dose Mesenchymal Stem Cells (MSCs)|Drug: Placebo Infusion
369,1,Biological: hUC-MSCs+Injectable collagen scaffold+CABG|Biological: hUC-MSCs+CABG|Procedure: CABG
370,1,Biological: Mesenchymal progenitor cells
371,1,Drug: Hyaluronic acid|Biological: 10 million Bone marrow mesenchimal stem cells|Biological: 100 million Bone marrow mesenchimal stem cells
372,1,Biological: HUC-MSCs Transplantation|Biological: HUC-MSCs with Injectable Collagen Scaffold Transplantation
373,1,Biological: Adipose derived stem cells
374,1,Drug: Bone-marrow derived MSCs|Drug: Placebo
375,1,Biological: Cellavita HD Lower Dose|Biological: Cellavita HD Higher dose
376,1,Drug: TP-0903
377,1,Drug: Allogenic Mesenchymal stem cells
378,1,Biological: Single Application of Adipose Derived Mesenchymal Stem Cells (AMSC)|Drug: Placebo|Biological: Two Applications of Adipose Derived Mesenchymal Stem Cells (AMSC)
379,1,Biological: Intravenous infusion of MSCs|Drug: Etanercept
380,1,Drug: umbilical cord blood mesenchymal stem cells
381,1,Drug: Mesenchymal Stromal Cell (MSC) injections
382,1,Biological: UCMSCs|Biological: Percutaneous
383,1,Dietary Supplement: High salt diet followed by low salt diet|Dietary Supplement: Low salt diet followed by high salt diet
384,1,Biological: Autologous mesenchymal stem cell
385,1,Biological: Adipose-derived stem cell|Biological: saline
386,1,Drug: Human Mesenchymal Stem Cells and Lactated Riunger's Solution|Other: Placebo
387,1,Other: Differentiation of hiPSCs to skeletal muscle progenitors
388,1,Biological: Injection (2x106 ASC/5ml).|Biological: Injection (10x106 ASC/5ml).|Other: Placebo
389,1,Biological: MSC's|Drug: Placebo
390,1,Drug: Group 2: Dasatinib|Drug: Group 2: Quercetin
391,1,Other: Adipose Derived Stem Cells|Other: Vehicle media
