,count,Outcome Measures
24,1,•Production of cardiomyocytes and engineered tissues from hiPSC-derived cardiomyocytes to be used in mechanistic studies of disease and testing of therapeutic interventions.
25,1,Number of participants with an adverse event as a measure of safety and tolerability|Determination of plasma concentrations of AB-16B5|Objective tumor responses in subjects with measurable disease according to RECIST|Monitoring of epithelial-to-mesenchymal (EMT) and stem cells biomarkers in peripheral blood circulating tumor cells and paired tumor biopsies
26,1,Overall Treatment Success: Bayesian Estimated Response Rate|Effectiveness Based on Number of Pain Responders|Effectiveness Based on Number of Functional Responders|Effectiveness Based on Treatment Success at 24 Months Reported as Number of Responders|Effectiveness Based on Number of Minimal Pain Responders at 24 Months|Effectiveness Based on Time to First Intervention Over 24 Months|Effectiveness Based on Number of Minimal Disability Responders at 24 Months
27,1,Maximum Tolerated Dose|Radiographic Response
28,1,clinical|radiological proof
29,1,Composite measure of severity and number of adverse events (AEs); changes in (clinical laboratory test findings (hematologic and chemistry); and physical examination. (Phase I)|clinical benefit rate (phase II)|Changes in serum levels of the biomarker soluble mesothelin related peptide (SMRP) (Phase I)
30,1,Sperm detection|Hormonal profile
31,1,generation of hiPSC-EHT and in vitro phenotyping|clinical phenotyping and disease progression|genotyping
32,1,Number of adverse events as a measure of safety and tolerability
33,1,Adverse Events of Allogeneic Human Mesenchymal Stem Cells (hMSCs) Determined by CTCAE version 4|Change in Left Ventricular Ejection Fraction (LVEF)
34,1,"Phase 1b: Frequency of treatment emergent adverse events (TEAEs) as assessed by CTCAE v4.03.|Phase 2, Arm 5: Objective Response Rate (ORR)|Phase 2, Arm 6: Progression Free Survival (PFS)|Objective Response Rate (ORR)|Overall survival (OS)|Progression-Free survival (PFS)|Duration of response (DOR)|Disease control rate (DCR)|Durable Response Rate (DRR)|Frequency of treatment emergent adverse events (TEAEs) as assessed by CTCAE v4.03."
35,1,Number and nature of adverse events|Incidence of major adverse coronary events (MACE)|Exercise Time and Level|Quantify myocardium perfusion measured by SPECT|Assessment of heart function by left ventricular ejection fraction|Clinical Improvement in NYHA Classification
36,1,Safety will be determined by the assessment of major adverse events.|Clinical response (CDAI points)|Endoscopic improvement is assessed by UCEIS.|Level of C-reactive protein
37,1,SDF1-α (stromal cell-derived factor alpha) Concentration|DPP-4 (Dipeptidyl peptidase-4) Activity|Monocyte State|Absolute/Differential leukocyte count|CD271+ cells
38,1,Expansion of regulatory T cell compartment of the patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Normalization of serum creatinine levels of the patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|T cell proliferation changes in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in regulatory T cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in memory T cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in B cells in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.|Changes in cytokine profile in patients undergoing renal transplant and infused with mesenchymal stem cells as compared to the control patients.
39,1,successful isolation of exosomes|evaluation of the liver microenvironment
40,1,Engraftment at 42 days post AD-HSC transplantation for patients with severe aplastic anemia.|To estimate the overall survival (OS) at 1 year following AD-HSC transplantation for Patients with Severe Aplastic Anemia|Relapse|Incidence of chronic graft-versus-host disease|Evaluation of the occurrence of secondary malignancies|Hematology labs|Number of participants with adverse events as a measure of safety and tolerability of intravenous AD-HSC infusion in patients with severe aplastic anemia|Transfusional requirements|To assess treatment related mortality
41,1,"Safety of MSCs infusion, number, timeframe of occurrence and severity of Adverse Events|efficacy: number of contrast-enhancing lesions (GEL) at MRI scan|Efficacy of the experimental treatment in term of combined MRI activity|Efficacy assessed by combined unique MRI activity, volume of GEL, and volume of BH|Efficacy assessed by combined unique MRI activity, volume of GEL and volume of BH|Efficacy: Number of relapses|Efficacy: Time to sustained progression of disability"
42,1,"Number and severity of adverse events|Change From Baseline in the International Index of Erectile Function(IIEF)|Penile Doppler Sonography, PDS|Change From Baseline in Sexual Encounter Profile (SEP) Question 2|Global Assessment Question (GAQ)"
43,1,"Safety as determined by the occurrence of local and systemic adverse events and/or serious adverse events.|Knee Injury and Osteoarthritis Outcome Score (KOOS)|Marx Activity Scale (Patient-reported activity)|Short-Form 36 (Health-related quality of life)|Whole Organ MRI Score (WORMS), Gadolinium-enhanced MRI, T2 Mapping (To assess joint structure, inflammation, and cartilage status over time)|Cartilage oligomeric matrix protein (COMP)|Hyaluronic acid (HA)|C-terminal telopeptide of type II collagen (CTXII)|Types I and II collagen cleavage (C1,2C)|Type II collagen cleavage (C2C)|IL-6/TNFα/IL-15"
44,1,Safety Evaluation Number of patients with adverse events|Improvements in Neurophysiological Measures omatosensory Evoked Potentials (SSEP) and Motor Evoked Potentials (MEP) monitoring will be assessed|Improvements in ASIA Impairment Scale|Improvements in Independence Measures and Quality of Life|Improvements in Pain assessed based on Visual analog scale (VAS)|Improvements in Urinary and Bowel Function assessed based on bladder pressure monitory before and after transplantation|Changes at the Transplantation Site in Spinal Cord by Magnetic Resonance Imaging (MRI)
45,1,Safety and Tolerability of EPIC MSC2014-002 based on dose limiting toxicities (DLTs)|Overall Response Rate for acute GVHD subjects|Overall Response Rate for chronic GVHD subjects|Transplant-related mortality|Incidence of Relapse|Disease-free survival|Overall-survival
46,1,Number of Temporary Weans From LVAD Support Tolerated|Number of Participants With Adverse Events|Physiologic Assessments|Histopathological Assessments of Myocardial Tissue|Overall Survival|Change in Quality of Life (QoL)|Hopkins Verbal Learning Test|Trailmaking Tests A and B|MCG Complex Figures|Digit Span|Digit Symbol Substitution Test|Controlled Oral Word Association|Length of Stay|Hospitalizations|Hospital Costs|Functional Status
47,1,Overall survival|Progression-free survival|Objective response rates defined to be a complete response or partial response noted as the objective status on 2 consecutive evaluations at least 4 weeks apart|Incidence of adverse events per Common Terminology Criteria for Adverse Events version 4.0|Quality of life as measured by the Functional Assessment of Cancer Therapy-Ovarian questionnaire
48,1,Baseline Visual analogue scale (VAS) Baseline Visual analogue scale (VAS)|Baseline value of knee injury and osteoarthritis outcome score (Koos).|Baseline Western Ontario and McMaster Universities Osteoarthritis Index score (WOMAC).|Baseline SF-36 value|Baseline euroquol 5D value|Baseline Lequesne index|Baseline femorotibial distance|Number of Participants with Serious and Non-Serious Adverse Events Number of Participants with Serious and Non-Serious Adverse Events Number of Participants with Serious and Non-Serious Adverse Events|Visual analogue scale (VAS) at 1 month|Visual analogue scale (VAS) at 3 months|Visual analogue scale (VAS) at 6 months|Visual analogue scale (VAS) at 12 months|Value of knee injury and osteoarthritis outcome score (Koos) at 1 month|Value of knee injury and osteoarthritis outcome score (Koos) at 3 month|Value of knee injury and osteoarthritis outcome score (Koos) at 6 month|Value of knee injury and osteoarthritis outcome score (Koos) at 12 months
49,1,The primary end point was safety in incidence of adverse events (AEs) within 12 months|The secondary end point was efficacy in absolute change of the global LV ejection fraction (LVEF) from baseline to 12 months by MRI
50,1,"Cell viability ratio of synovial membrane MSC and infrapatellar fat pad MSC from the first to the tenth cell passage|Doubling time of synovial membrane MSC and infrapatellar fat pad MSC from the first to the tenth cell passage|Percentage expression of cluster differentiation 90,105, 34, 45 surface markers of synovial membrane MSC and infrapatellar fat pad MSC from the first to the tenth cell passage|Alcian blue staining of synovial membrane MSC and infrapatellar fat pad MSC|Tyep II collagen and aggrecan gene expression of synovial membrane MSC and infrapatellar fat pad MSC"
51,1,Number of treatment related-adverse events during the study period|Improvement in clinical function as assessed by Modified Rankin Score(mRS) compared to baseline at 6 months|Improvement in clinical function as assessed by National Institute of Health Stroke Scale (NIHSS) compared to baseline at 6 months|Improvement in clinical function as assessed by Barthel Index (BI) compared to baseline at 6 months|Improvement in clinical function as assessed by Brain MRI tratogram compared to baseline at 6 months
52,1,Proportion of Subjects Without a Treatment Related Severe Adverse Event
53,1,Number of participants with adverse reactions for 84 days after treatment|Number of participants with adverse reactions between 84 days after treatment and 20 months of corrected age|Incidence of moderate/severe BPD or death at 36 weeks postmenstrual age (PMA)|Hospital Re-admission between 84 days after treatment until 20 months of corrected age|Bayley Scales of Infant and Toddler Development between 84 days after treatment until 20 months of corrected age
54,1,Liver function|Serum creatinine|Proteinuria|Renal function|Increase in anti inflammatory factors|Increase in Treg
55,1,"C-peptide level after mixed meal tolerance test|Liver function, kidney function|The absence of severe hypoglycemic episodes"
56,1,Clinically measured abnormality of laboratory tests and adverse events|Satisfaction as measured by Wexner Score
57,1,"biopsy proven acute rejection / graft loss|Comparison of fibrosis by quantitative Sirius Red scoring|Serious adverse events|Renal function measured by cGFR (MDRD formula) and iohexol clearance|CMV, BK infection (viremia, disease and syndrome; and subtypes of BK viremia) and other opportunistic infections|Development of de novo donor specific antibodies (DSA) and immunological responses"
58,1,"Measurement of b-FGF, v-EGF MEASURED BY ELISA|Change of Nerve Conduction Velocities of Nerves Affected Measured by Nerve Conduction Study.|Change of Nerve Conduction Latency of Nerves Affected Measured by Nerve Conduction Study|Change of Nerve Conduction Amplitude of Nerves Affected Measured by Nerve Conduction Study.|Change of Levels of Fasting Blood Sugar and 2 Hours Post Prandial at Base Line ( Zero Day ) and After (90 Days) After Stem Cells Transfusion|Change of Levels of Glycated Haemoglobin( HA1C) After Stem Cells Transfusion Measured in Percent %"
59,1,"Safety will be determined by the assessment of major adverse events|Quantify pulmonary respiratory function measured by chest computerized tomography|The efficacy of UC-MSC treatment was measured by arterial blood gas analysis|The efficacy of UC-MSC treatment was measured by biological markers,including markers of inflammation，IL-6|The efficacy of UC-MSC treatment was measured by biological markers,including markers of inflammation，IL-8"
60,1,Clinical horizontal bone augmentation results through direct measurement.|Volumetric measurements with CBCT
61,1,"Monitor major adverse cardiac events|Composite Change from baseline in right ventricular function, right ventricular end-diastolic volume, right ventricular end-systolic volume, right ventricular end-systolic diameter and tricuspid regurgitation|Number of participants with incidence of mortality or need for transplantation after the BDCPA operation|Composite Changes in somatic growth velocity over time (weight, height, head circumference) from the BDCPA operation|Assessment of Co-morbidity"
62,1,Modified Rankin Scale (mRS)|Major Bleeding
63,1,"Feasibility and security of MSC therapy in very low birth weight preterm babies at risk of developing bronchopulmonary dysplasia (Number of participants with adverse events)|Biomarker analysis (IL-1beta, IL-6, IP-10, INF-gamma, TGF beta, NLRP3, RAGE, HMGB1, VEGFA, GREMLIN1, sVEGFR1, IGF, ENDOTHELIN-1, SMPD-1, SP-D, SMPD3.|Changes in the echocardiographic parameters related with PH and preterm birth, in patients treated with MSC (Number of participants with echocardiographic adverse events)|Incidence of BPD and PH in very low birth weight babies treated with MSC"
64,1,"A reduction in the distance in mm from the bottom of the periodontal pocket to the cementoenamel junction using a manual probe (Hu-Friedy XP-23/QW, Hu-Friedy, Chicago, IL, USA) with 20-25g of pressure by a single calibrated examiner.|A reduction in the distance in mm between the gingival margin and the bottom of the defect using a manual periodontal probe (Hu-Friedy XP-23/QW) by a single calibrated examiner."
65,1,Safety will be determined by the assessment of major adverse events.|The efficacy of UC-MSC treatment was measured clinical evaluation.|The efficacy of UC-MSC treatment was measured by chest computerized tomography.|The efficacy of UC-MSC treatment was monitored by pulmonary function.|The efficacy of UC-MSC treatment was measured by lab Indicators.
66,1,Adverse events|Cumulative number of MRI Gd-enhancing lesions|Multiple Sclerosis Outbreaks|Expanded Disability Status Scale (EDDS) score|Cumulative number of lesions visualized on T2 sequence
67,1,maximum tolerated dose (MTD)|evidence of anti-tumor activity
68,1,Change From Baseline in Left Ventricular Ejection Fraction (LVEF)|Change From Baseline in Global Strain (HARP MRI)|Change From Baseline in Regional Strain (HARP MRI)|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)|Change From Baseline in Left Ventricular Sphericity Index|Change From Baseline in Scar Size Percent (DEMRI)|Change From Baseline in Scar Tissue Mass (DEMRI)|Change From Baseline in Maximal Oxygen Consumption (Peak VO2)|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)|Change From Baseline in Minnesota Living With Heart Failure Questionnaire (MLHFQ) Score|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)|Change From Baseline in Left Ventricular Ejection Fraction (LVEF)-Trajectory|Change From Baseline in Global Strain (HARP MRI)-Trajectory|Change From Baseline in Regional Strain (HARP MRI)-Trajectory|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)-Trajectory|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)-Trajectory|Change From Baseline in Left Ventricular Sphericity Index-Trajectory|Change From Baseline in Scar Size Percent (DEMRI)-Trajectory|Change From Baseline in Scar Tissue Mass (DEMRI)-Trajectory|Change From Baseline in Maximal Oxygen Consumption (Peak VO2)-Trajectory|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)-Trajectory|Change From Baseline in Minnesota Living With Heart Failure Questionnaire (MLHFQ) Score-Trajectory|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)-Trajectory|Participants With Major Adverse Cardiac Events (MACE)|Participants Experiencing Other Significant Clinical Events|Cumulative Days Alive and Out of Hospital for Heart Failure
69,1,Incidence of any treatment emergent serious adverse events (TE-SAEs)|Treatment Emergent adverse event rates|Ectopic tissue formation|48-hour ambulatory electrocardiogram (ECG) recordings.|Hematology value changes post-catheterization|Urinalysis results changes post-catheterization|Clinical chemistry values post-catheterization|Pulmonary function|Serial troponin I values|Creatine kinase-MB (CK-MB) value changes post-catheterization|Post-cardiac catheterization echocardiogram.|Magnetic resonance imaging (MRI) measures of infarct scar size (ISS)|Echocardiographic measures of infarct scar size (ISS)|Magnetic resonance imaging (MRI) of Left Regional Ventricular Function|Echocardiographic measures of Left Regional Ventricular Function|Magnetic resonance imaging (MRI) of Global Ventricular Function|Echocardiographic measures of Global Ventricular Function|Tissue perfusion measured by MRI.|Peak oxygen consumption (Peak VO2) (by treadmill determination).|Six-minute walk test.|New York Heart Association (NYHA) functional class.|Minnesota Living with Heart Failure (MLHF) questionnaire.|Incidence of Major Adverse Cardiac Events (MACE)
70,1,LVEF (left ventricular ejection fraction)
71,1,Proportion of Major Adverse Cardiac Events (MACE)|Proportion of Other Significant Clinical Events|Subjects With Events Precluding Their Receipt of Product|Subjects Who Receive Less Than 20 Injections During SPI|Subjects Who Did Not Receive the Study Product (Either 100 Million Cells or Placebo)|Subjects Who Have at Least One Cardiac MRI Endpoint Measure That is Uninterpretable|Subjects Who Fail to Complete Follow-up|Change From Baseline in Left Ventricular Ejection Fraction (LVEF)|Change From Baseline in Left Ventricular Ejection Fraction (LVEF)-Trajectory|Change From Baseline in Global Strain (HARP MRI)|Change From Baseline in Global Strain (HARP MRI)-Trajectory|Change From Baseline in Regional Strain (HARP MRI)|Change From Baseline in Regional Strain (HARP MRI)-Trajectory|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)|Change From Baseline in Left Ventricular End Diastolic Volume Index (LVEDVI)-Trajectory|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)|Change From Baseline in Left Ventricular End Systolic Volume Index (LVESVI)-Trajectory|Change From Baseline in Left Ventricular Sphericity Index|Change From Baseline in Left Ventricular Sphericity Index-Trajectory|Change From Baseline in Area of Injury|Change From Baseline in Area of Injury-Trajectory|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)|Change From Baseline in Exercise Tolerance (Six Minute Walk Test)-Trajectory|Change From Baseline in Minnesota Living With Heart Failure Questionnaire Score|Change From Baseline in Minnesota Living With Heart Failure Questionnaire Score-Trajectory|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)|Change From Baseline in N-Terminal Pro-Brain Natriuretic Peptide (NT-proBNP)-Trajectory|Cumulative Days Alive and Out of Hospital for Heart Failure
72,1,Number of Participants with Adverse Events as a Measure of Safety|Change in whole saliva production|Subjective complaints of xerostomia|Change in volume and vascularisation - MRI of glands - composite|MRI - Change in fibrosis|histological sections - gland tissue - composite|histological sections - fibrosus|histological sections - vascularisation
73,1,Macro and micro structural properties of grey matter (GM) and white matter (WM) regions will measured using high-resolution anatomical MRI and diffusion tensorm imaging and comparisons made between groups.|Brain imaging measures of GM and WM structural integrity will be compared to functional and neurocognitive scores and comparisons made between groups.|Compare neuro-inflammatory biomarkers between groups..|Measure the number of participants with infusion related adverse events.|Measure spleen ultrasound size over time and corresponding changes in inflammatory cytokines.|Determine if microglial activation is associated with TBI and can be accurately measured with brain PET and DT-MRI imaging when compared to PET imaging data from healthy volunteers (enrolled under a different protocol).|Quantify the extent and location of microglial activation by brain PET imaging and how activity correlates with performance of neurocognitive outcomes measures.|Determine the extent to which an IV infusion of autologous BMMNC post-injury impacts microglial activation by brain PET imaging.
74,1,Numeric Pain Rating Scale (NPRS)|Oswestry Disability Index (ODI)|SF-12 Health Survey|EQ-5D Quality Adjusted Life Years
75,1,Maximum Tolerated Dose (MTD) of Mesenchymal Stem Cells-Interferon-β (MSC-IFNβ)|Correlation Between the Number of MSC-IFNβ Infused and the Production of Interferon-β and the Number of MSC-IFNβ Detected at the Tumor Sites Via Tumor Biopsy Pre- and Post-Treatment
76,1,Occurrence of study related adverse events|Anti-tumor responses to CART-133 cell infusions
77,1,Response rate of ILD|Overall Survival
78,1,Objective Response Rate|Duration of Response|Progression Free Survival|1-Year Survival Rate|Overall Survival|Number of Patients Experiencing Treatment-emergent Adverse Events|Blood Plasma Concentration of MGCD265 - AUC0-6|Blood Plasma Concentration of MGCD265 - Cmax|Blood Plasma Concentration of MGCD265 - Ctrough|Blood Plasma Concentration of MGCD265 - Accumulation Ratio AUC0-6|Blood Plasma Concentration of MGCD265 - Accumulation Ratio Cmax|Blood Plasma Concentration of MGCD265 - Peak to Trough Ratio|Blood Plasma Concentration of MGCD265 - Tmax|Assess Correlation Between Selected Tumor Gene Alterations Using Different Analytical Techniques in Tumor Tissue and Circulating Tumor Deoxyribonucleic Acid (ctDNA) - MET Activating Mutations|Assess Correlation Between Selected Tumor Gene Alterations Using Different Analytical Techniques in Tumor Tissue and Circulating Tumor Deoxyribonucleic Acid (ctDNA) - MET Gene Amplifications|Assess Change in Genetic Alteration Status in ctDNA With MGCD265 Treatment Over Time in the Selected Population|Blood Plasma Concentration of Soluble MET (sMET) Biomarker
79,1,"Safety of intra-articular injection of autologous ADMSCs by incidence of adverse events and alterations in vital signs, blood chemistry profiles, complete blood count, urinalysis, and also the physical examination of the knees.|Clinical assessment of visual analogue scale (VAS)|Clinical assessment of Short Form 36 questionnaire (SF-36)|Clinical assessment of Western Ontario and McMaster Universities Arthritis Index (WOMAC)|Clinical assessment of Hospital for Special Surgery (HSS) Knee Score|Clinical imaging assessment of knee X-ray|Clinical imaging assessment of MRI of the knee"
80,1,The proportion of participants with 100% healing at the end of follow-up
81,1,post operative liver injury|Total Bilirubin level|(INR) International Normalized Ratio|(ALT) Alanine Aminotransferase|(AST) Aspartate Aminotransferase
82,1,Estimated glomerular filtration rate|Incidence of slow graft function|Incidence of delayed graft function|Proportion of normal renal function recovery|Time to renal function recovery|Patient survival|Renal graft survival|Incidence of acute rejection|Severe adverse events
83,1,Estimated glomerular filtration rate (eGFR)|Patient survival rate|Graft survival rate|Donor specific antibody (DSA) level|Pathological manifestation|Severe adverse events
84,1,Estimated glomerular filtration rate|Proportion of normal renal function recovery|Time to renal function recovery (days)|acute rejection rate|patient and graft survival rate|Incidence of severe adverse events
85,1,Change from baseline in Fugl-Meyer Scale at 12 months|Change from baseline in NIH Stroke Scale at 12 months|Change from baseline in Barthel Index at 12 months|Change from baseline in SSS at 12 months|Change from baseline in mRS at 12 months|Improvement of vision measured by brain visual examination
86,1,Number of participants for whom iPSCs were created|Phenotype differences
87,1,"Ulcer size (length, mm)|Ulcer size (width, mm)|Ulcer size (depth, mm)|Pain of cutaneous wounds (Visual Analog Score for pain)"
88,1,Number of adverse events|Circulating naive and memory T cell count (CD45RA/CD45RO) (flow cytometry analysis)|Circulating regulatory T cell count.|T-cell function in mixed lymphocyte reaction.|Urinary FOXP3 mRNA expression evaluated by real time quantitative PCR
89,1,"Rate of serious and non-serious adverse events related to the procedure.|Number of new fractures|Pain, measured by Visual Analog Scale|Functionality, measured by Oswestry Disability Questionnaire|Quality of Life, measured by EuroQoL-5D test|Bone resorption, measured by biochemical index|Bone formation, measured by biochemical index|Bone metabolism, measured by biochemical index|Bone Mineral Density , measured by dual energy x-ray absorptiometry (DXA)|Bone structure, measured by histomorphometric evaluation|Trabecular bone density measured by quantitative computed tomography of the radius"
90,1,Safety of autologous bone marrow-derived Mesenchymal Stem Cells in patients with Drug-Resistant Symptomatic Epilepsy|Efficacy of autologous bone marrow-derived Mesenchymal Stem Cells in patients with Drug-Resistant Symptomatic Epilepsy
91,1,Change from baseline in thickness of subcutaneous tissue|Change from base line in post operative appearance
92,1,Crohn's disease activity index|Harvey-Bradshaw index|Corticosteroid dosage
93,1,fever|Unconsciousness|The Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)|FVC
94,1,Change in Functional / Clinical Score of 10 points or more|Numeric pain intensity scale (0-10)|Disease progression defined as progression to a fractural stage of osteonecrosis|Reoperation rate|Radiological progression
95,1,clinical union|Radiological healing|Pain|Quality of life|Walking distance
96,1,Evaluation of Safety and Tolerability (Adverse events)|Change in the T2 MRI signal intensity of the nucleus pulposus|Overall improvement in the Disc Height Index|improvement in Visual Analogue Scale (VAS)|improvement in Oswestry Disability Index (ODI)|improvement in Short Form-36
97,1,Change from Baseline in Clinical Diagnosis
98,1,Number of participants with Adverse Events|Number of participants with Clinical responses
99,1,Feasibility of the full procedure|Ejection Fraction|Maximal Oxygen consumption|Walking distance in 6 minutes|weaning procedure|Quality of life|Measure of heart pressures|Brain natriuretic peptide|Troponin|Major bleeding|Systemic embolism|Deaths
100,1,Change in VO2max|Left ventricular viability|NYHA/CCS class|Quality of life (Minnesota questionnaire)|VO2 max|6'walking-test|Echocardiography|Myocardial perfusion imaging|BNP blood test
101,1,Successful production of a Retinal Epithelial (RPE) layer that fulfils Regulatory Regulation for transplantation. This will be confirmed with standard laboratory characterisation of RPE and completed toxicity and safety studies on the cell layer.
102,1,Safety Will be Evaluated by Number of AE|Change in LVEF From Baseline to Day 90 Post-initial Infusion.
103,1,Biochemical Molecular Outcomes|Clinical Outcomes|Imaging Outcomes
104,1,Number of donors from which induced Pluripotent Stem Cells were generated|Number of stem cell lines for which the immune response was characterised|Number of immunomodulatory therapies characterised|Levels of baseline and stimulated gut hormones detected
105,1,myocardial perfusion measured in MRI.|complications of catheterization|complications of endomyocardial injection|systolic function|diastolic function|immunomodulation induced MSCs in the blood|immunomodulation induced MSCs in myocardial biopsy
106,1,SPADI(Shoulder pain and disability index)Score|Constant-Murley score|Visual Analog Scale_pain in motion|Changes in the size of rotator cuff tears determined by MRI|Changes in the size of rotator cuff tears determined by arthroscopy|Adverse event
107,1,"Ankle Brachial Pressure Index, ABPI|Collateral vessel formation on digital subtraction angiography (DSA)|Difference of Wound size|Improved transcutaneous oxygen pressure (TCPO2)|Pain on the Visual Analogue Scale(VAS)|Reduced limb amputation|Temperature change on thermography|Dose about using analgesic medicine|Change in Rutherford classification|Frequency about using analgesic medicine"
108,1,American Spinal Injury Association (ASIA) Total Score at the Fourth Follow-up|SCI Functional Rating Scale of the International Association of Neurorestoratology (IANR-SCIFRS) Total Score at the Fourth Follow-up|American Spinal Injury Association (ASIA) Total Score|SCI Functional Rating Scale of the International Association of Neurorestoratology (IANR-SCIFRS) Total Score|International Standards to Document Remaining Autonomic Function After Spinal Cord Injury (ISAFSCI) Score|Penn Scale|Modified Ashworth Scale|Geffner Scale|Neurogenic Bowel Dysfunction (NBD) Scale|Residual Urine Volume
109,1,Number of adverse events|Sensory and motor strength|Functional Independence|Muscle strength assessment
110,1,Safety of HC-SVT-1001 and HC-SVT-1002 in the surgical treatment of atrophic nonunion in long bones by recording of adverse events.|Effectiveness by mean of radiological methods on the appearance of signs of osseous setting formation.|Comparative statistical analysis
111,1,"Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire."
112,1,American Shoulder and Elbow Surgeons (ASES) Score|Magnetic Resonance Imaging (MRI) Scan|Functional Outcomes - Shoulder Exam|Patient Centered Outcomes - Shoulder Survey
113,1,Numbers of participants enrolled into the MSC group and control group|Incident rates of BPAR and DGF after renal transplantation with MSC prevention before operation
114,1,Change from Baseline in Psoriasis Area and Severity Index (PASI) score at 8 weeks|Change from Baseline in Dermatology Life Quality Index (DLQI) score at 8 weeks|body temperature will be monitored for any possible infusion-related toxicities.|blood pressure will be monitored for any possible infusion-related toxicities.|Psoriasis Area and Severity Index (PASI) score|Dermatology Life Quality Index (DLQI) score
115,1,Effects of autologous SVF derived MSC transplantation on reducing the dosage of immunosuppressant in living-related kidney transplant recipients.|Changes in renal function|Incidence of acute rejection|Incidence of delayed graft function|Allograft survival|Infection adverse event|Non-hematologic toxicities|Hematologic toxicities
116,1,Effects of autologous SVF derived MSC transplantation on reducing the dosage of CNI by 30% in Kidney Transplantation from Chinese Donation after Citizen Death|Changes in renal function as determined by eGFR and proteinuria|Incidence of Acute rejection|Incidence of delayed graft function (DGF)|Allograft survival|SAE (severe adverse effects)|non-hematologic toxicities
